,name,PLD,LCD,ASA,Density,VF,T,DC
0,05001N2,19.11156,19.7302,1121.03,0.585485,0.7264,111,3.57765465398932
1,05001N2,19.11156,19.7302,1121.03,0.585485,0.7264,231,1.4229726991550766
2,05001N2,19.11156,19.7302,1121.03,0.585485,0.7264,296,1.0028330216644843
3,07000N2,25.76446,26.16246,960.045,0.458062,0.7796,111,4.503955882084895
4,07000N2,25.76446,26.16246,960.045,0.458062,0.7796,231,1.8083810329037284
5,07000N2,25.76446,26.16246,960.045,0.458062,0.7796,296,1.317221606986256
6,07001N2,7.19365,7.82083,1212.77,1.10023,0.491,111,1.0298677244585062
7,07001N2,7.19365,7.82083,1212.77,1.10023,0.491,231,0.7400081324878833
8,07001N2,7.19365,7.82083,1212.77,1.10023,0.491,296,0.4830309223555678
9,07002N2,14.44649,14.84694,1232.24,0.703127,0.6578,111,2.8647967530684006
10,07002N2,14.44649,14.84694,1232.24,0.703127,0.6578,231,1.1512947548433048
11,07002N2,14.44649,14.84694,1232.24,0.703127,0.6578,296,0.7900955406829803
12,07010N3,8.05043,9.33026,2165.58,0.421687,0.7716,111,6.359036228817272
13,07010N3,8.05043,9.33026,2165.58,0.421687,0.7716,231,2.5457314338973873
14,07010N3,8.05043,9.33026,2165.58,0.421687,0.7716,296,1.741470064113039
15,07011N3,8.65629,9.94867,2081.14,0.383123,0.792,111,7.050453040171438
16,07011N3,8.65629,9.94867,2081.14,0.383123,0.792,231,2.692067529594401
17,07011N3,8.65629,9.94867,2081.14,0.383123,0.792,296,1.86610782798836
18,07012N3,15.98748,18.94596,1163.54,0.180984,0.9034,111,12.323974043959206
19,07012N3,15.98748,18.94596,1163.54,0.180984,0.9034,231,5.130233483079613
20,07012N3,15.98748,18.94596,1163.54,0.180984,0.9034,296,3.838153708692858
21,07013N3,18.97041,27.19302,1072.03,0.171077,0.9146,111,12.67218598805589
22,07013N3,18.97041,27.19302,1072.03,0.171077,0.9146,231,5.325603412541339
23,07013N3,18.97041,27.19302,1072.03,0.171077,0.9146,296,4.056623006480517
24,08000N3,5.72195,10.04139,2268.91,0.519987,0.7302,111,4.387356661851938
25,08000N3,5.72195,10.04139,2268.91,0.519987,0.7302,231,1.9212163776446418
26,08000N3,5.72195,10.04139,2268.91,0.519987,0.7302,296,1.2618154527928997
27,08010N2,4.27298,4.7838,367.083,1.14317,0.4102,111,0.25875491139348655
28,08010N2,4.27298,4.7838,367.083,1.14317,0.4102,231,0.10799192865434103
29,08010N2,4.27298,4.7838,367.083,1.14317,0.4102,296,0.07091312580070543
30,08011N2,6.66061,7.51918,1064.82,0.98834,0.5052,111,1.0661274751114853
31,08011N2,6.66061,7.51918,1064.82,0.98834,0.5052,231,0.3898184585915607
32,08011N2,6.66061,7.51918,1064.82,0.98834,0.5052,296,0.26676162366110845
33,08012N2,9.4509,9.8332,1397.84,0.874709,0.5766,111,1.912877276026353
34,08012N2,9.4509,9.8332,1397.84,0.874709,0.5766,231,0.7182468117112238
35,08012N2,9.4509,9.8332,1397.84,0.874709,0.5766,296,0.45769227578294513
36,08013N2,12.61914,13.08046,1393.38,0.756007,0.6526,111,2.5459288133706472
37,08013N2,12.61914,13.08046,1393.38,0.756007,0.6526,231,1.1139361618221932
38,08013N2,12.61914,13.08046,1393.38,0.756007,0.6526,296,0.7494867247267399
39,08020N2,7.2429,7.90088,1149.75,1.00239,0.5232,111,1.1822648323982068
40,08020N2,7.2429,7.90088,1149.75,1.00239,0.5232,231,0.6496996838142448
41,08020N2,7.2429,7.90088,1149.75,1.00239,0.5232,296,0.43020833026174016
42,08030N2,24.43121,24.73597,1003.43,0.518345,0.758,111,3.8583154959793555
43,08030N2,24.43121,24.73597,1003.43,0.518345,0.758,231,1.572521931501126
44,08030N2,24.43121,24.73597,1003.43,0.518345,0.758,296,1.130847544131152
45,09000N3,9.28044,9.64438,2087.49,0.501059,0.7342,111,4.2127914982499854
46,09000N3,9.28044,9.64438,2087.49,0.501059,0.7342,231,1.9283633725925837
47,09000N3,9.28044,9.64438,2087.49,0.501059,0.7342,296,1.2639785500226255
48,09010N2,13.23477,13.63753,1345.2,0.731022,0.6308,111,2.335631820498474
49,09010N2,13.23477,13.63753,1345.2,0.731022,0.6308,231,0.8278694425044332
50,09010N2,13.23477,13.63753,1345.2,0.731022,0.6308,296,0.5527764918725537
51,10000N2,7.88759,8.64115,1254.7,0.9605,0.5302,111,1.4850285177336078
52,10000N2,7.88759,8.64115,1254.7,0.9605,0.5302,231,0.6794736003196532
53,10000N2,7.88759,8.64115,1254.7,0.9605,0.5302,296,0.44021942470870706
54,10010N2,14.1481,14.38798,1191.14,0.759474,0.6466,111,2.523637787295237
55,10010N2,14.1481,14.38798,1191.14,0.759474,0.6466,231,0.9783438503677977
56,10010N2,14.1481,14.38798,1191.14,0.759474,0.6466,296,0.6729130659186422
57,10020N2,13.67833,14.12635,1281.33,0.635868,0.6708,111,3.05975005268585
58,10020N2,13.67833,14.12635,1281.33,0.635868,0.6708,231,1.2557619702885143
59,10020N2,13.67833,14.12635,1281.33,0.635868,0.6708,296,0.8477208373588646
60,11000N2,13.02845,13.36177,1802.32,0.596628,0.7098,111,2.953370649070378
61,11000N2,13.02845,13.36177,1802.32,0.596628,0.7098,231,1.303643945073372
62,11000N2,13.02845,13.36177,1802.32,0.596628,0.7098,296,0.8886074130625361
63,11001N2,4.85715,6.3075,1702.28,0.736441,0.6326,111,2.355545405297761
64,11001N2,4.85715,6.3075,1702.28,0.736441,0.6326,231,0.983587368852043
65,11001N2,4.85715,6.3075,1702.28,0.736441,0.6326,296,0.5956818419803909
66,11002N2,27.01523,27.2536,997.785,0.427085,0.7858,111,4.510700755269875
67,11002N2,27.01523,27.2536,997.785,0.427085,0.7858,231,1.810491818142838
68,11002N2,27.01523,27.2536,997.785,0.427085,0.7858,296,1.3179981823317284
69,11003N2,12.3481,13.11535,1811.05,0.493244,0.7448,111,4.141850538042799
70,11003N2,12.3481,13.11535,1811.05,0.493244,0.7448,231,1.583482743461114
71,11003N2,12.3481,13.11535,1811.05,0.493244,0.7448,296,1.0703231253766705
72,11010N2,11.10642,11.44013,1276.16,0.935537,0.6142,111,1.9822687797753136
73,11010N2,11.10642,11.44013,1276.16,0.935537,0.6142,231,0.8231324970387267
74,11010N2,11.10642,11.44013,1276.16,0.935537,0.6142,296,0.5521928160558903
75,11020N2,12.38825,12.79729,1412.35,0.61879,0.6886,111,3.088826746112878
76,11020N2,12.38825,12.79729,1412.35,0.61879,0.6886,231,1.1858047517614891
77,11020N2,12.38825,12.79729,1412.35,0.61879,0.6886,296,0.8121851059863678
78,11030N2,14.70511,15.41679,1283.08,0.552143,0.7238,111,3.548943936584935
79,11030N2,14.70511,15.41679,1283.08,0.552143,0.7238,231,1.3815170239241048
80,11030N2,14.70511,15.41679,1283.08,0.552143,0.7238,296,0.9701878912515375
81,11031N2,26.26796,26.63908,1278.41,0.299763,0.8518,111,7.567177987869874
82,11031N2,26.26796,26.63908,1278.41,0.299763,0.8518,231,3.40368415985424
83,11031N2,26.26796,26.63908,1278.41,0.299763,0.8518,296,2.437802130267529
84,11040N2,32.78879,32.93058,874.708,0.344509,0.8282,111,5.857381205731226
85,11040N2,32.78879,32.93058,874.708,0.344509,0.8282,231,2.4455427731169297
86,11040N2,32.78879,32.93058,874.708,0.344509,0.8282,296,1.7866469993548861
87,12000N2,13.08464,13.44419,1286.3,0.741116,0.6496,111,2.5902399947809625
88,12000N2,13.08464,13.44419,1286.3,0.741116,0.6496,231,1.0605464461222636
89,12000N2,13.08464,13.44419,1286.3,0.741116,0.6496,296,0.7214948326585156
90,12001N2,10.28103,10.58897,1330.84,0.848478,0.5738,111,1.8919226299156537
91,12001N2,10.28103,10.58897,1330.84,0.848478,0.5738,231,0.7822310267790835
92,12001N2,10.28103,10.58897,1330.84,0.848478,0.5738,296,0.51341503758717
93,12010N2,18.60733,19.07485,1106.88,0.598516,0.7028,111,3.344888717099164
94,12010N2,18.60733,19.07485,1106.88,0.598516,0.7028,231,1.3354925204361003
95,12010N2,18.60733,19.07485,1106.88,0.598516,0.7028,296,0.9374318824956815
96,12011N2,18.63318,19.15145,1102.73,0.639688,0.7,111,3.163583252132771
97,12011N2,18.63318,19.15145,1102.73,0.639688,0.7,231,1.2556968956197092
98,12011N2,18.63318,19.15145,1102.73,0.639688,0.7,296,0.883815715194257
99,12012N2,18.56991,19.12853,1105.37,0.641198,0.7002,111,3.1446689745465672
100,12012N2,18.56991,19.12853,1105.37,0.641198,0.7002,231,1.2531591146744978
101,12012N2,18.56991,19.12853,1105.37,0.641198,0.7002,296,0.8712308305092301
102,12020N2,15.52692,15.82596,1174.84,0.747682,0.6702,111,2.5229997721425046
103,12020N2,15.52692,15.82596,1174.84,0.747682,0.6702,231,1.009409584722688
104,12020N2,15.52692,15.82596,1174.84,0.747682,0.6702,296,0.7034767333925361
105,12022N2,23.79996,24.06552,1059.65,0.521619,0.7636,111,3.9577570501007378
106,12022N2,23.79996,24.06552,1059.65,0.521619,0.7636,231,1.5392296602450026
107,12022N2,23.79996,24.06552,1059.65,0.521619,0.7636,296,1.106644196601989
108,12023N2,24.14477,24.58257,966.264,0.576825,0.748,111,3.5178995170505742
109,12023N2,24.14477,24.58257,966.264,0.576825,0.748,231,1.3542145088096187
110,12023N2,24.14477,24.58257,966.264,0.576825,0.748,296,0.9893949200003879
111,12024N2,27.59758,28.05485,985.206,0.463061,0.7864,111,4.337856524444179
112,12024N2,27.59758,28.05485,985.206,0.463061,0.7864,231,1.7019172256586135
113,12024N2,27.59758,28.05485,985.206,0.463061,0.7864,296,1.2431324869358886
114,12030N2,16.43413,16.84676,1213.59,0.721957,0.6856,111,2.7935243258274705
115,12030N2,16.43413,16.84676,1213.59,0.721957,0.6856,231,1.2181968236287022
116,12030N2,16.43413,16.84676,1213.59,0.721957,0.6856,296,0.8392217349594602
117,12040N2,18.88103,19.14047,1119.29,0.643516,0.6834,111,3.051735916318219
118,12040N2,18.88103,19.14047,1119.29,0.643516,0.6834,231,1.197075111219445
119,12040N2,18.88103,19.14047,1119.29,0.643516,0.6834,296,0.8240580142807983
120,12050N2,9.25945,9.46302,1229.41,0.832544,0.5424,111,1.7349708680169398
121,12050N2,9.25945,9.46302,1229.41,0.832544,0.5424,231,0.8679281985185212
122,12050N2,9.25945,9.46302,1229.41,0.832544,0.5424,296,0.5687909603634188
123,12060N2,14.35044,14.61678,1196.22,0.818509,0.6456,111,2.3451385521861408
124,12060N2,14.35044,14.61678,1196.22,0.818509,0.6456,231,0.907130510943054
125,12060N2,14.35044,14.61678,1196.22,0.818509,0.6456,296,0.6307589267935684
126,12061N2,14.27275,14.54875,1199.58,0.819318,0.6452,111,2.3496638004847927
127,12061N2,14.27275,14.54875,1199.58,0.819318,0.6452,231,0.9116204976831523
128,12061N2,14.27275,14.54875,1199.58,0.819318,0.6452,296,0.6272877558603355
129,12062N2,13.87891,14.29827,1202.09,0.839477,0.6314,111,2.2688781891077245
130,12062N2,13.87891,14.29827,1202.09,0.839477,0.6314,231,0.8965166124815024
131,12062N2,13.87891,14.29827,1202.09,0.839477,0.6314,296,0.6096029057268333
132,13000N2,5.90362,6.37954,819.815,1.58059,0.4226,111,0.531619240955311
133,13000N2,5.90362,6.37954,819.815,1.58059,0.4226,231,0.3306234846177146
134,13000N2,5.90362,6.37954,819.815,1.58059,0.4226,296,0.21413276920490992
135,13010N2,26.21819,26.46291,891.25,0.579132,0.7198,111,3.2235946430707143
136,13010N2,26.21819,26.46291,891.25,0.579132,0.7198,231,1.2556455830387108
137,13010N2,26.21819,26.46291,891.25,0.579132,0.7198,296,0.9098659803292867
138,13011N2,30.87029,31.02732,820.62,0.506384,0.7606,111,3.655291825917218
139,13011N2,30.87029,31.02732,820.62,0.506384,0.7606,231,1.4859726122579295
140,13011N2,30.87029,31.02732,820.62,0.506384,0.7606,296,1.0770556261065638
141,13012N2,32.33396,32.66085,813.849,0.470374,0.7724,111,4.057743563057471
142,13012N2,32.33396,32.66085,813.849,0.470374,0.7724,231,1.6465719624026205
143,13012N2,32.33396,32.66085,813.849,0.470374,0.7724,296,1.2042169730427847
144,13020N2,26.63581,27.27431,1160.66,0.274002,0.863,111,8.61243124453146
145,13020N2,26.63581,27.27431,1160.66,0.274002,0.863,231,3.6106397124720795
146,13020N2,26.63581,27.27431,1160.66,0.274002,0.863,296,2.593541174825065
147,13040N3,5.66415,6.16039,877.867,1.01261,0.4652,111,0.8277714200805311
148,13040N3,5.66415,6.16039,877.867,1.01261,0.4652,231,0.42383413152319693
149,13040N3,5.66415,6.16039,877.867,1.01261,0.4652,296,0.2691126755615559
150,13050N2,18.20232,18.42693,1149.03,0.644587,0.701,111,3.068474815781277
151,13050N2,18.20232,18.42693,1149.03,0.644587,0.701,231,1.2520136466379537
152,13050N2,18.20232,18.42693,1149.03,0.644587,0.701,296,0.8707631473124383
153,13060N2,9.71447,11.54845,1487.08,0.669197,0.6466,111,2.9260581344536534
154,13060N2,9.71447,11.54845,1487.08,0.669197,0.6466,231,1.2674279463673288
155,13060N2,9.71447,11.54845,1487.08,0.669197,0.6466,296,0.8320693263706689
156,13070N2,17.15702,17.38774,1165.38,0.705914,0.6824,111,2.7328951419009497
157,13070N2,17.15702,17.38774,1165.38,0.705914,0.6824,231,1.0841522697301438
158,13070N2,17.15702,17.38774,1165.38,0.705914,0.6824,296,0.7539598792443992
159,13071N2,17.35378,17.57051,1139.28,0.605214,0.6966,111,3.172606847985154
160,13071N2,17.35378,17.57051,1139.28,0.605214,0.6966,231,1.223147308941525
161,13071N2,17.35378,17.57051,1139.28,0.605214,0.6966,296,0.8655110753697437
162,13072N2,19.51535,19.94726,1115.83,0.598194,0.7116,111,3.2878713674128144
163,13072N2,19.51535,19.94726,1115.83,0.598194,0.7116,231,1.2970156176362277
164,13072N2,19.51535,19.94726,1115.83,0.598194,0.7116,296,0.9119583976002805
165,13073N2,16.99861,17.33898,1143.76,0.711626,0.6744,111,2.6454631742605517
