name,PLD,LCD,ASA,Density,VF
05000N2,2.60836,3.84928,0,1.04938,0.4602
05001N2,19.11156,19.7302,1121.03,0.585485,0.7264
07000N2,25.76446,26.16246,960.045,0.458062,0.7796
07001N2,7.19365,7.82083,1212.77,1.10023,0.491
07002N2,14.44649,14.84694,1232.24,0.703127,0.6578
07010N3,8.05043,9.33026,2165.58,0.421687,0.7716
07011N3,8.65629,9.94867,2081.14,0.383123,0.792
07012N3,15.98748,18.94596,1163.54,0.180984,0.9034
07013N3,18.97041,27.19302,1072.03,0.171077,0.9146
08000N3,5.72195,10.04139,2268.91,0.519987,0.7302
08010N2,4.27298,4.7838,367.083,1.14317,0.4102
08011N2,6.66061,7.51918,1064.82,0.98834,0.5052
08012N2,9.4509,9.8332,1397.84,0.874709,0.5766
08013N2,12.61914,13.08046,1393.38,0.756007,0.6526
08020N2,7.2429,7.90088,1149.75,1.00239,0.5232
08030N2,24.43121,24.73597,1003.43,0.518345,0.758
09000N3,9.28044,9.64438,2087.49,0.501059,0.7342
09010N2,13.23477,13.63753,1345.2,0.731022,0.6308
10000N2,7.88759,8.64115,1254.7,0.9605,0.5302
10010N2,14.1481,14.38798,1191.14,0.759474,0.6466
10020N2,13.67833,14.12635,1281.33,0.635868,0.6708
11000N2,13.02845,13.36177,1802.32,0.596628,0.7098
11001N2,4.85715,6.3075,1702.28,0.736441,0.6326
11002N2,27.01523,27.2536,997.785,0.427085,0.7858
11003N2,12.3481,13.11535,1811.05,0.493244,0.7448
11010N2,11.10642,11.44013,1276.16,0.935537,0.6142
11020N2,12.38825,12.79729,1412.35,0.61879,0.6886
11030N2,14.70511,15.41679,1283.08,0.552143,0.7238
11031N2,26.26796,26.63908,1278.41,0.299763,0.8518
11040N2,32.78879,32.93058,874.708,0.344509,0.8282
12000N2,13.08464,13.44419,1286.3,0.741116,0.6496
12001N2,10.28103,10.58897,1330.84,0.848478,0.5738
12010N2,18.60733,19.07485,1106.88,0.598516,0.7028
12011N2,18.63318,19.15145,1102.73,0.639688,0.7
12012N2,18.56991,19.12853,1105.37,0.641198,0.7002
12020N2,15.52692,15.82596,1174.84,0.747682,0.6702
12022N2,23.79996,24.06552,1059.65,0.521619,0.7636
12023N2,24.14477,24.58257,966.264,0.576825,0.748
12024N2,27.59758,28.05485,985.206,0.463061,0.7864
12030N2,16.43413,16.84676,1213.59,0.721957,0.6856
12040N2,18.88103,19.14047,1119.29,0.643516,0.6834
12050N2,9.25945,9.46302,1229.41,0.832544,0.5424
12060N2,14.35044,14.61678,1196.22,0.818509,0.6456
12061N2,14.27275,14.54875,1199.58,0.819318,0.6452
12062N2,13.87891,14.29827,1202.09,0.839477,0.6314
13000N2,5.90362,6.37954,819.815,1.58059,0.4226
13010N2,26.21819,26.46291,891.25,0.579132,0.7198
13011N2,30.87029,31.02732,820.62,0.506384,0.7606
13012N2,32.33396,32.66085,813.849,0.470374,0.7724
13020N2,26.63581,27.27431,1160.66,0.274002,0.863
13030N2,1.18856,2.94547,0,1.44805,0.3604
13040N3,5.66415,6.16039,877.867,1.01261,0.4652
13050N2,18.20232,18.42693,1149.03,0.644587,0.701
13060N2,9.71447,11.54845,1487.08,0.669197,0.6466
13070N2,17.15702,17.38774,1165.38,0.705914,0.6824
13071N2,17.35378,17.57051,1139.28,0.605214,0.6966
13072N2,19.51535,19.94726,1115.83,0.598194,0.7116
13073N2,16.99861,17.33898,1143.76,0.711626,0.6744
13074N2,15.85266,16.23125,1260.7,0.671669,0.6684
13075N2,12.51191,12.84025,1266.65,0.843315,0.6346
13076N2,12.18295,12.45606,1235.68,0.973686,0.6056
13077N2,10.97829,11.27834,1314.26,0.878242,0.6122
13078N2,9.83484,10.54691,1393.62,0.923775,0.6158
13080N2,14.87989,15.17518,1226.03,0.797164,0.6326
13090N2,21.78338,22.02192,1048.38,0.577518,0.75
13100N2,18.41775,19.07895,1224.74,0.48227,0.7502
13110N2,11.21613,11.58627,1408.38,0.740952,0.6642
13120N2,13.14222,13.52573,1287.14,0.661192,0.6736
13121N2,19.30853,19.5919,1142.48,0.52667,0.7306
13122N2,27.34418,27.50463,972.55,0.402596,0.7932
13123N2,17.45545,17.75202,1152.45,0.616965,0.7004
13130N2,39.61516,39.76837,747.749,0.378002,0.8206
13140N2,5.73591,6.47206,1176.09,1.13218,0.4852
13141N2,12.42246,12.68633,1297.84,0.818447,0.6304
13142N2,9.09729,9.61708,1246.5,1.0118,0.5664
13150N2,19.29968,19.52597,1136.72,0.553389,0.7238
13160N2,19.20747,19.47383,1209.1,0.49874,0.763
13161N2,17.84961,18.82862,1771.96,0.421138,0.8194
13170N2,21.44482,22.12427,1059.56,0.596881,0.7212
13180N3,4.04298,5.26001,1266.76,1.03682,0.5036
