,name,PLD,LCD,ASA,Density,VF,site,ratio,T,DC
0,05001N2,19.11156,19.7302,1121.03,0.585485,0.7264,0.0,0.0,111,3.312857098660715
1,05001N2,19.11156,19.7302,1121.03,0.585485,0.7264,0.0,0.0,231,1.28885134125
2,05001N2,19.11156,19.7302,1121.03,0.585485,0.7264,0.0,0.0,296,0.904456818125
3,07000N2,25.76446,26.16246,960.045,0.458062,0.7796,0.0,0.0,111,4.211053156785715
4,07000N2,25.76446,26.16246,960.045,0.458062,0.7796,0.0,0.0,231,1.6443622574107146
5,07000N2,25.76446,26.16246,960.045,0.458062,0.7796,0.0,0.0,296,1.1917892257142857
6,07001N2,7.19365,7.82083,1212.77,1.10023,0.491,0.0,0.0,111,0.9290931848214288
7,07001N2,7.19365,7.82083,1212.77,1.10023,0.491,0.0,0.0,231,0.6656473916964287
8,07001N2,7.19365,7.82083,1212.77,1.10023,0.491,0.0,0.0,296,0.4333709248214286
9,07002N2,14.44649,14.84694,1232.24,0.703127,0.6578,0.0,0.0,111,2.633292728392857
10,07002N2,14.44649,14.84694,1232.24,0.703127,0.6578,0.0,0.0,231,1.0399142233035714
11,07002N2,14.44649,14.84694,1232.24,0.703127,0.6578,0.0,0.0,296,0.7110605043750001
12,07010N3,8.05043,9.33026,2165.58,0.421687,0.7716,0.0,0.0,111,6.063276892857143
13,07010N3,8.05043,9.33026,2165.58,0.421687,0.7716,0.0,0.0,231,2.3323498580357147
14,07010N3,8.05043,9.33026,2165.58,0.421687,0.7716,0.0,0.0,296,1.5824417349107145
15,07011N3,8.65629,9.94867,2081.14,0.383123,0.792,0.0,0.0,111,6.772542269642857
16,07011N3,8.65629,9.94867,2081.14,0.383123,0.792,0.0,0.0,231,2.470129270892857
17,07011N3,8.65629,9.94867,2081.14,0.383123,0.792,0.0,0.0,296,1.6978514422321431
18,07012N3,15.98748,18.94596,1163.54,0.180984,0.9034,0.0,0.0,111,12.550236091964285
19,07012N3,15.98748,18.94596,1163.54,0.180984,0.9034,0.0,0.0,231,4.828266979107143
20,07012N3,15.98748,18.94596,1163.54,0.180984,0.9034,0.0,0.0,296,3.5637033671428577
21,07013N3,18.97041,27.19302,1072.03,0.171077,0.9146,0.0,0.0,111,12.956297948214287
22,07013N3,18.97041,27.19302,1072.03,0.171077,0.9146,0.0,0.0,231,5.022480436428571
23,07013N3,18.97041,27.19302,1072.03,0.171077,0.9146,0.0,0.0,296,3.7751275186607143
24,08000N3,5.72195,10.04139,2268.91,0.519987,0.7302,0.0,0.0,111,4.097034238392857
