name,111K,231K,296K
05000N2,1.072217865,0.808040003,0.549053242
05001N2,3.741161716,1.410574643,1.033157282
05001N2_one_0.5,3.793821647,1.682575261,1.146411206
05001N2_one_1.0,3.236176096,1.71513153,1.226531434
05001N2_two_0.5,2.986307578,3.159171105,2.380297496
05001N2_two_1.0,1.241244099,3.051233812,3.050388584
07000N2,4.691332861,1.779241361,1.350337989
07000N2_one_0.5,4.560094417,2.07912635,1.479418703
07000N2_one_1.0,3.817683334,2.151117564,1.558542178
07000N2_two_0.5,3.925404299,4.176368353,3.383832385
07000N2_two_1.0,1.759752036,3.441305326,3.496114734
07001N2,1.568248654,0.738417054,0.523783844
07002N2,2.948548479,1.064593387,0.777009108
07002N2_one_0.5,2.770504603,1.254425863,0.923505847
07002N2_one_1.0,2.119264618,1.404563645,1.092444568
07010N3,6.750687494,2.482677785,1.785101926
07010N3_one_0.5,5.422228829,2.973242325,2.007511632
07010N3_one_1.0,3.594726161,2.962963176,2.115634775
07010N3_two_0.5,1.38984695,3.878839779,4.246695119
07010N3_two_1.0,0.315500306,1.369118506,1.816138591
07011N3,7.416023032,2.616034175,1.925476228
07011N3_one_0.5,6.446021104,3.021983403,2.081896121
07011N3_one_1.0,4.43627008,3.12436296,2.171724304
07011N3_two_0.5,1.833966118,4.732042533,4.707209123
07011N3_two_1.0,0.283573978,1.635255386,2.193450155
07012N3,12.90608764,5.14024057,4.030197797
07012N3_one_0.5,13.69280833,5.294914902,3.844095542
07012N3_one_1.0,12.43767101,5.159383673,3.672090988
07012N3_two_0.5,16.99702983,8.171241331,5.612648528
07012N3_two_1.0,11.03282653,10.1840149,7.181659433
07013N3,13.07564363,5.242124544,4.139161141
07013N3_one_0.5,13.90945984,5.425894805,3.905612657
07013N3_one_1.0,12.47089703,5.260900126,3.774547775
07013N3_two_0.5,16.98444032,8.359494347,5.760716682
07013N3_two_1.0,11.58450328,10.28626701,7.379022493
08000N3,4.649676514,1.827286933,1.32278577
08000N3_one_0.5,3.923062907,2.270059422,1.499888857
08000N3_one_1.0,2.767747863,2.393028378,1.637269352
08000N3_two_0.5,1.554819409,3.392731437,3.200533355
08000N3_two_1.0,0.813491236,1.65051612,2.370121683
08010N2,1.125652856,0.421396153,0.276974753
