Number,structure,111K,231K,296K
0,05001N2,3.236176096,1.71513153,1.226531434
1,07000N2,3.817683334,2.151117564,1.558542178
441,07002N2,2.119264618,1.404563645,1.092444568
2,07010N3,3.594726161,2.962963176,2.115634775
3,07011N3,4.43627008,3.12436296,2.171724304
4,07012N3,12.43767101,5.159383673,3.672090988
5,07013N3,12.47089703,5.260900126,3.774547775
6,08000N3,2.767747863,2.393028378,1.637269352
7,09000N3,1.636773316,1.896872655,1.349862272
8,10010N2,2.360509097,1.18334202,0.860868574
442,10020N2,1.286501497,0.86353134,0.978640266
9,11002N2,4.964146356,2.106611527,1.66765939
10,11003N2,4.413658027,2.439090883,1.612540694
11,11020N2,1.902142251,1.459452875,1.189944864
12,11030N2,4.978487069,2.699186673,1.895173252
13,11031N2,8.1869815,3.376547951,2.334461382
14,11040N2,5.423389435,2.637867461,1.945128137
15,12000N2,1.399986917,1.447051034,1.04843594
16,12010N2,2.765008883,1.396635486,1.081164285
17,12011N2,2.605182206,1.337342035,1.03303588
18,12012N2,2.639635309,1.282844437,1.007373152
19,12022N2,3.535783864,1.755508116,1.255365847
20,12023N2,3.188835115,1.596497266,1.133127824
21,12024N2,4.182655658,1.983240945,1.53218483
22,12040N2,2.142327167,1.512961204,1.070132096
23,12060N2,2.502040273,1.207875735,0.837598979
24,12061N2,2.487779548,1.223297585,0.837074029
25,12062N2,2.512669423,1.216505059,0.842861995
26,13010N2,3.339499425,1.372312271,1.047525068
27,13012N2,3.920645745,1.87648041,1.425046998
28,13020N2,9.625586743,3.724484621,2.564182846
443,13040N3,0.736129554,0.934060217,0.767910427
29,13051N2,1.226315472,1.626351311,1.12516924
30,13060N2,2.093471972,1.236038841,0.995529415
31,13100N2,5.82836018,2.787635037,1.892855156
32,13101N2,6.050457369,3.156344932,2.089176158
33,13110N2,3.836268707,1.881861905,1.2079303
444,13120N2,0.906878287,1.231237155,1.11980757
34,13121N2,2.33863593,1.855831856,1.489456725
35,13122N2,2.817509868,2.169461857,1.696560102
36,13123N2,2.433499295,1.397509929,1.116666741
37,13130N2,5.052519806,2.33866905,1.742987436
38,13150N2,2.132716849,1.751463735,1.378032624
39,13160N2,5.546294387,2.712092419,1.781138139
40,13161N2,5.522274148,2.470594493,1.642557386
41,13170N2,7.294402326,3.325546268,2.273680377
445,13180N3,0.216589078,0.430022147,0.43215501
446,13181N3,0.187007166,0.706812472,0.52623121
447,13182N3,0.150313971,0.389855715,0.43461375
448,13190N2,0.882463087,0.799208455,0.535545505
42,13191N2,2.381732739,1.389915226,0.984482482
43,14010N2,2.009233243,1.538294897,1.096238983
