Number,structure,111K,231K,296K
0,05001N2,1.241244098778536,3.0512338120205196,3.0503885842910594
1,07000N2,1.7597520362854626,3.44130532597078,3.496114734259269
2,07010N3,0.3155003062140966,1.3691185063974407,1.8161385909677776
3,07011N3,0.2835739780772533,1.6352553857218712,2.1934501548927727
4,07012N3,11.032826526177322,10.184014899669885,7.181659433049291
5,07013N3,11.584503275323915,10.28626700893658,7.379022492719715
6,08000N3,0.8134912360243418,1.650516119577965,2.3701216832800083
7,09000N3,0.1177453324726762,0.633205156332734,0.8862268855175706
8,11002N2,5.2217752362230865,4.2929380481458,3.3641507017226004
9,11003N2,1.9769143357266978,4.024173276825158,3.5021861651937938
10,11020N2,0.3826952856220688,1.6760528544912334,1.9718071455760722
11,11030N2,1.444794232206043,4.0805593139726195,4.419674459698162
12,11031N2,7.45756615697521,6.428158702771606,4.543745406856218
13,11040N2,4.527347253836621,5.050306796990605,4.5230002709714725
14,12010N2,0.7709702472032484,2.2539097691867034,2.4994081094641234
15,12011N2,0.7544163304337691,2.1560832032362365,2.3857983127080162
16,12012N2,0.7086803049968218,2.153675181297586,2.381002431649758
17,12022N2,1.7293460814690274,3.2946269204413468,3.2128097630903043
18,12023N2,2.284337223824301,3.058892679412147,2.788009220034095
19,12024N2,2.193680548773232,3.8559563909109533,3.680436207811102
20,12060N2,0.7736773958859674,2.213539277851047,2.24083393479084
21,12061N2,0.8136454098165857,2.206886374094409,2.230771174871088
22,12062N2,0.8402644453505724,2.221764517788487,2.2427344423848634
23,13010N2,2.9015014423319085,2.880027402257992,2.3354054851698747
24,13012N2,3.519750090175403,3.6447903435466267,3.1203851916434973
25,13020N2,10.374193298730091,6.9589122709670725,4.809495413822079
26,13100N2,1.5930640684127582,4.7793000736716875,5.030983987136247
27,13101N2,1.3169209327302873,3.6281842382127847,4.24990375802953
28,13110N2,1.0055788937521606,3.146544120481739,3.3388220251023233
29,13122N2,0.2540695193933621,1.5823412566068753,2.0430801247124775
30,13123N2,0.46819844357744544,1.6159378550721613,2.073742679981109
31,13130N2,5.638266892597202,4.530546316487064,3.763736871161406
32,13160N2,1.751498399624652,4.684919541964072,4.729627990888846
33,13161N2,3.142435888162747,5.330887299672661,4.066060832443603
34,13170N2,7.7047295607529005,5.800934089812959,4.107321446431373
35,13191N2,0.6761147935010211,2.008294353689015,2.297742166076943
36,14020N2,0.3507388886318524,1.2773672915579908,1.612234993183309
37,14030N2,5.594049706552514,4.400340791754721,3.5014121755080474
38,14031N2,2.81777305170229,4.24625971138262,3.3825606150942913
39,14040N2,4.487002961260356,3.9701937129778666,3.1580524255688474
40,14060N2,0.8394180990649546,2.58387639290206,3.193284439657664
41,14070N2,1.9401529327252258,3.6726942623281906,3.2027421193669126
42,14071N2,1.9102657618835635,3.603122869302814,3.1564579959643355
43,14072N2,3.6134357410722626,6.155250222931534,4.881669206424987
44,14073N2,3.6339980089160555,6.111977858308308,4.89677170563107
45,14080N2,2.6893717484958537,4.10110150031928,3.903868028402483
46,14090N2,0.4493862453426394,1.897867906906592,2.235865203286908
47,14091N2,0.5032879593428868,1.6927110144140074,2.132229983851405
48,14100N2,0.5184814717655305,1.9416731038320696,2.472806202109061
49,15010N2,1.5324771865786555,3.271321993787613,2.9274561631565703
50,15020N2,3.777640664913358,6.589283775607859,5.411945209036568
51,15021N2,6.135848873519536,6.229952130772944,4.431363792576435
52,15031N2,1.080204749395569,2.913062781459867,3.093121287229357
53,15061N2,1.075158810536475,2.638082254306737,2.857287307358559
54,15070N2,1.9636932412720172,3.583311381762081,3.4067393836712214
55,15071N2,2.063857961501563,3.6907453630454183,3.423902057882032
56,15072N2,3.3069937763946085,5.7523191878583955,4.423043835947211
57,15080N2,1.9246794247670886,4.4895466612122705,3.9965013742837083
58,15081N2,3.360949310538331,5.810504736565981,4.4502132152881
59,15090N2,3.2720903970698876,5.778560182908121,4.4232635277192145
60,15091N2,2.940096409656841,5.324984164487747,4.1316672466416895
61,15100N2,3.981351256569277,4.2901647293192795,3.4969746577316934
62,15110N2,2.888178993272093,4.100987399932716,3.443982574195674
63,15111N2,3.124907799608109,2.8987654021204614,2.3189650153315395
64,15120N2,2.263479190665086,3.9887231387066486,3.782178586257712
65,15130N2,2.9285520037260095,4.117679288611776,3.4462084366036745
66,15131N2,5.0729827241811485,4.646365700550345,3.53155862504218
67,15140N2,1.2327986438938257,3.143614806550146,3.285682999094699
68,15150N2,2.823199674130412,5.207910956875867,4.052306715078452
69,15180N2,2.5428389351899843,3.336862880298107,2.925126792882668
70,15181N2,3.720644596006281,3.4600482160601267,2.831117820485625
71,15182N2,2.471942053577831,3.4920455623581166,3.133237465965252
72,15183N2,2.569402934747296,3.347705433311597,2.9410470576659256
73,15184N2,3.739800947597596,3.4668780433167052,2.8280889152333795
74,15185N2,2.4875608117865124,3.517022687530509,3.1316023152698254
75,15186N2,5.6298423787992204,4.767796571831167,4.018200109410323
76,15201N3,17.358157608393743,11.283173875033734,7.998768718929991
77,15202N3,3.8467043927519424,8.660996752279408,7.119424930359265
78,15240N2,3.601559518625327,3.65783331052933,2.8651736390942344
79,15241N2,3.601018344505828,4.318750563632188,3.1708631945941734
80,15250N2,0.6452577909629026,2.051028699204305,2.5414391417113342
81,15251N2,0.3594189269668771,1.596228598666269,2.057752946965
82,15252N2,0.44735484089345,1.6652140238425523,2.0871421182370926
83,15253N2,0.4649808660071659,1.7192908871838886,2.121946461658626
84,16011N2,1.7835763364559436,3.737827597650178,3.556058493087077
85,16030N2,1.939529284076413,3.5222439655131232,3.4359451907243903
86,16031N2,1.9184251166586124,3.306412882898633,3.1167005441169833
87,16032N2,3.032135249922282,4.288391652938951,3.7303752654715083
88,16050N2,2.3582348280291288,2.1426489680734235,1.5803374358498472
89,16051N2,2.1595361598333462,3.0412948893492207,2.5420802293645837
90,16052N2,4.755727632167315,2.1020956494316176,1.4899171000437905
91,16053N2,4.838488406132983,2.5715855441626863,1.8564168135573742
92,16054N2,2.823167907436073,2.7830928723408723,2.1658660889508994
93,16055N2,3.254079423242238,3.2411040693784545,2.60276447185721
94,16056N2,4.725102154289297,2.6659109827767535,1.9030768433376193
95,16057N2,4.518384316247704,2.0661931774271207,1.4606124234186706
96,16061N2,10.99898620200889,12.354110965814328,9.385508383907453
97,16080N2,0.4228246806464172,1.344386343478945,1.8501624216423211
98,16082N2,0.39312238721993686,1.7036851649234577,2.156792272714117
99,16090N2,0.5508079395738283,1.9811279032253928,2.504350309141817
100,16110N3,9.082357413946749,9.870905469109006,7.257405275854276
101,16111N3,7.080654709929725,9.650717871717498,7.226142921886247
102,16130N3,16.993393997549642,10.127685409584684,7.0685854127604815
103,16131N3,14.559761450498868,9.779266558055191,6.7818848661574505
104,16140N2,0.513484645777692,1.8542939692952534,2.140281072965195
105,16141N2,0.9416764747276717,2.7508043882100344,2.955208372842856
106,16142N2,1.050294215631466,2.8577355121466885,3.1007225745894624
107,16160N2,3.83376232673508,1.324396458721142,0.9025766775245467
