,name,out1,pre1,out2,pre2,out3,pre3
0,['14000N2'],3.102311,2.8607645,1.1095939,1.1897366,0.79221445,0.78573215
1,['20361N2_one_0.5'],3.2431095,2.9421697,1.6141803,1.5342902,1.17113,1.06326
2,['19453N2'],5.84079,6.285045,2.2773438,2.146104,1.7641735,1.5902082
3,['13010N2_two_1.0'],2.9015014,3.235923,2.8800273,3.013846,2.3354056,2.5119088
4,['16172N2_one_0.5'],4.2546906,4.4818587,2.1279438,2.0870428,1.5038611,1.5060024
5,['21101N2_two_0.5'],4.214212,4.0743403,4.0785546,4.020696,3.2310035,3.2919216
6,['20581N2_one_0.5'],2.8001323,2.9575253,1.3787583,1.4084821,1.0186558,1.0515954
7,['17153N2_one_0.5'],3.650785,3.4610991,1.5219529,1.4926181,1.110136,1.0652622
8,['21260N2_one_1.0'],3.05165,3.766004,1.6996834,1.9981635,1.3827004,1.4753753
9,['19180N2'],5.139118,5.7706757,1.9198406,1.8802757,1.4672133,1.3779249
10,['21012N2_one_1.0'],5.322802,5.5303288,2.467993,2.669128,1.8498211,1.8855681
11,['15253N2_one_0.5'],3.4362288,3.1993093,1.8728532,1.8563883,1.3264854,1.4697413
12,['20000N2_two_0.5'],1.5757546,1.9564816,3.5439844,3.0164256,3.4442427,2.7512944
13,['20173N2_two_1.0'],0.7072377,1.3003205,2.2659645,2.209448,2.5813925,2.2973366
14,['17150N2_two_0.5'],3.7742462,3.2391746,3.268771,3.1452498,2.5302331,2.5534678
15,['21630N2_one_0.5'],3.119215,2.8247843,1.6697806,1.5707501,1.2136189,1.2330676
16,['19420N3'],10.259644,10.094312,3.9616983,3.8987722,3.020735,2.9673886
17,['15181N2_two_0.5'],4.93252,4.046282,2.887193,2.6534488,2.0752006,2.0509582
18,['19290N2'],3.2973905,2.906751,1.4110041,1.2669048,1.0263526,0.9357374
19,['17050N2_one_1.0'],3.4639475,3.907036,1.7210283,1.9010816,1.329393,1.3940126
20,['21712N2'],2.6198173,2.9980412,0.69570214,0.77256584,0.46759066,0.5052879
21,['20481N3'],24.43499,18.698177,12.03061,8.257881,9.790257,6.1433067
22,['19281N2_two_0.5'],2.7239373,2.9766943,3.1276407,2.9285636,2.5322037,2.5069695
23,['17070N2_one_1.0'],3.6612713,3.555691,1.6658813,1.7810695,1.3471471,1.3207672
24,['17080C2_two_0.5'],0.6462917,0.8070283,1.8736801,2.0097988,1.9882816,1.7592165
25,['20160N2'],3.520274,3.0150244,1.3175248,1.2221571,1.00682,0.9182131
26,['16100N2_one_0.5'],2.9074075,3.4133425,1.5357976,1.7648835,1.1875159,1.3497204
27,['20181N2'],3.3315048,3.424563,1.1785971,1.1349287,0.8849087,0.804299
28,['11002N2_two_1.0'],5.221775,3.942844,4.292938,3.493939,3.3641508,2.9811075
29,['16050N2_one_1.0'],2.9941347,3.201615,1.1022037,1.0661309,0.79446787,0.7687272
30,['19363N2_two_1.0'],4.0656524,3.8710291,4.15477,4.0513496,3.400895,3.387844
31,['22002N2'],2.3560016,2.6330845,0.96252286,1.2023172,0.6066947,0.9084331
32,['15010N2_one_0.5'],4.071081,4.00844,1.6982177,1.7894917,1.2010283,1.287414
33,['20142N2'],2.8132248,2.9973507,1.060586,1.2883871,0.75340885,0.9599298
34,['16131N3'],13.109276,14.014672,5.3186665,4.892108,4.1639214,3.5229502
35,['15100N2_two_0.5'],6.272527,5.169961,3.8855548,4.139398,2.8867342,3.2639954
36,['20660N2_one_1.0'],8.350999,7.9916105,3.7458103,3.4438035,2.5284066,2.4811735
37,['20210N2_two_0.5'],1.4885556,2.551837,3.520119,2.9000406,3.1363797,2.372475
38,['16110N3'],12.892568,12.4477215,5.134249,4.650668,3.9328234,3.5358434
39,['16220N2'],4.423391,4.965429,1.6547588,1.9080534,1.2419144,1.3710194
40,['16280C2_two_1.0'],5.5835185,5.1830473,4.952498,5.155758,4.222751,4.316059
41,['20180N2_two_0.5'],3.626627,3.4366353,3.3019066,3.148769,2.3752353,2.6159668
42,['19491N2_one_0.5'],2.520934,2.7011018,1.5778248,1.4154108,1.1335764,1.0064973
43,['19366N2_one_0.5'],5.311891,4.648243,2.1933305,1.7830796,1.6391877,1.2864714
44,['15181N2_one_0.5'],4.274946,4.158502,1.7071131,1.4444113,1.197352,1.0272472
45,['19531N2'],10.788708,10.400511,4.3253345,4.2565613,3.3484614,3.078105
46,['2016bN2'],4.9513016,5.105643,1.8704633,1.8112848,1.4337212,1.3482772
47,['19453N2_two_1.0'],3.7759612,3.7187357,4.3005557,4.7374,3.8057425,4.077407
48,['21601N2_one_1.0'],5.402937,4.961039,2.2461872,2.1144376,1.7388908,1.5216887
49,['21310N2_one_0.5'],4.468641,4.423639,2.0116544,1.9694998,1.3901227,1.3753844
50,['16058N2'],3.500108,3.561627,1.3481925,1.2934281,1.0017785,0.9291142
51,['18082N2_two_1.0'],1.231758,2.0394263,3.3974943,3.6683638,3.295588,3.3422177
52,['15252N2_one_1.0'],2.7205663,3.1115837,1.4770921,1.9150839,1.2681943,1.4947499
53,['15202N3_two_1.0'],3.8467045,11.035765,8.660996,10.024507,7.119425,7.4262934
54,['19213C2_one_0.5'],4.733029,4.7963123,2.0281954,2.0522583,1.4364494,1.4912175
55,['20202N2'],6.3567233,7.2936163,2.5753155,3.1095543,1.9403301,2.1944275
56,['15100N2'],5.186666,5.756392,1.9554318,1.9882064,1.5140222,1.4285313
57,['19454N2_one_0.5'],5.9985213,5.6492066,2.4389775,2.2864583,1.7354728,1.6483761
58,['19051N2_two_1.0'],3.6157045,4.4807343,4.3577747,4.6576233,3.7001789,3.861065
59,['21220N2_one_0.5'],3.3742871,3.2352462,1.5534301,1.5940464,1.1597676,1.1548778
