,name,out1,pre1,out2,pre2,out3,pre3,out4,pre4,out5,pre5,out6,pre6,out7,pre7,out8,pre8,out9,pre9,out10,pre10,out11,pre11,out12,pre12,out13,pre13,out14,pre14,out15,pre15
0,['16490N2'],1.9209995,1.9172841,1.0287547,0.98440576,0.7127457,0.67637753,0.9426301,-0.0935477,0.7132633,0.108394146,0.37718457,0.3142872,0.3194447,0.0031309128,0.6562102,-0.03354764,0.5571507,0.15739214,0.0,-0.5764328,0.0,-0.36681926,0.0,-0.120814204,0.0,-0.22330701,0.0,-0.40163243,0.0,-0.26935017
1,['19220N2'],6.6409407,7.100986,2.5429282,2.841908,1.9790887,2.1274803,5.776796,5.0711894,2.8304348,2.4378846,2.0260606,1.6615646,4.409356,4.190374,2.6193879,2.0920758,2.0530605,1.7821923,5.1083026,4.3633895,5.2880464,4.153321,4.466094,3.2605977,1.8174174,1.9674814,3.882737,3.467951,3.871907,3.2113612
2,['20491N2'],2.4048746,2.571813,0.9157562,0.921579,0.6816856,0.78207374,2.0818715,2.189669,0.9384451,1.0537207,0.7961862,0.8497766,1.4971405,1.4665345,0.97078115,1.0908697,0.8634101,0.87297815,0.0,0.62695,0.0,1.2256453,0.0,1.0952613,0.0,0.069202065,0.0,0.5462172,0.0,0.6196513
3,['16032N2'],5.1481786,4.6466575,1.9015975,1.8206731,1.4431236,1.3058642,5.2613807,4.0583153,2.1199045,1.809554,1.4908799,1.2041706,4.52406,3.3492966,2.2448556,1.7817138,1.6176094,1.2323928,5.58515,3.8525372,4.0970893,3.2973444,2.9090807,2.6148314,3.0321352,1.9795414,4.2883916,2.9719806,3.7303753,2.6379957
4,['17110N2'],5.831642,3.925006,2.0802534,1.4460146,1.5779017,0.92425644,0.0,0.4730234,0.0,0.14578879,0.0,-0.015663028,0.0,0.35894942,0.0,0.16780746,0.0,0.04796028,0.0,-0.24379528,0.0,-0.15941036,0.0,-0.15916717,0.0,-0.15179002,0.0,-0.12141156,0.0,-0.13255954
5,['07013N3'],13.075644,12.750207,5.2421246,5.444056,4.139161,4.367245,13.90946,11.722001,5.4258947,4.852788,3.9056127,3.6346097,12.470897,10.53735,5.2609,4.4107046,3.7745478,3.1363256,16.98444,14.22963,8.359494,7.3795877,5.760717,5.262889,11.584503,10.163262,10.286267,8.463907,7.3790226,6.470109
6,['18021N3'],7.8767147,3.061112,2.9405515,1.5316943,2.1922574,0.6314478,4.6402054,-0.33339727,3.0253859,-0.15466845,2.1178274,-0.47773564,2.4597497,-0.31214797,2.5420833,-0.17490876,1.9799503,0.21206605,2.3723001,0.07688224,5.700516,0.14042091,4.9670033,0.123147726,0.8581209,-0.09287119,3.0862668,-0.22493947,3.7867324,-0.50583136
7,['20114N3'],10.826153,7.353742,4.003431,2.8261242,3.0677974,1.6975825,0.0,0.5517571,0.0,0.14004254,0.0,-0.14589918,0.0,0.81335485,0.0,0.14785099,0.0,0.28485692,0.0,0.5424143,0.0,-0.07219124,0.0,0.010276914,0.0,0.024038672,0.0,0.32870305,0.0,0.104108214
8,['20180N2'],3.9873466,4.907759,1.4574636,1.7905571,1.0946676,1.3141153,3.9544456,3.122854,1.7802376,1.5946698,1.2204242,1.146109,3.5056796,2.493672,1.6733996,1.4482293,1.165146,1.1581651,3.626627,1.0085249,3.3019066,1.6603575,2.3752353,1.5139427,1.6293286,0.17559755,3.510221,0.94759524,3.0983617,1.0876924
9,['21380N2'],3.488891,3.6638887,1.2769902,1.3315136,0.84581673,1.0651393,2.71954,2.7639248,1.2736275,1.5379176,1.005568,1.143433,2.1043923,2.1515799,1.3347436,1.3904238,1.0567862,1.1293464,0.0,0.5378361,0.0,1.4442096,0.0,1.3789217,0.0,-0.07550728,0.0,0.46209514,0.0,0.83016
10,['21530N2'],2.2941086,2.2560604,1.2012467,1.033542,0.757258,0.8577825,1.2301118,1.1888033,1.1041036,0.6290332,0.84365654,0.47575247,0.7701522,0.7513188,0.81774735,0.6619873,0.7130071,0.51546574,0.0,0.70029294,0.0,0.73813903,0.0,0.6881776,0.0,0.40307534,0.0,0.2332474,0.0,0.21516371
11,['19142N2'],3.5715358,2.9166453,1.3262686,0.87028563,1.0069478,0.6782292,0.0,0.25370443,0.0,0.08507323,0.0,0.12819505,0.0,0.2079947,0.0,0.086654425,0.0,0.2696705,0.0,0.49609625,0.0,0.31945765,0.0,0.2926371,0.0,0.28945875,0.0,0.29794455,0.0,0.26259243
12,['19231N2'],4.32332,4.5053415,1.6691172,1.7366527,1.2187629,1.2732973,3.7805445,3.7431412,1.918944,1.8240337,1.2617056,1.2703981,2.7692916,2.8815055,1.757617,1.7520449,1.1917137,1.3213382,1.24518,2.0760248,3.0992765,2.4525115,2.923534,2.1062374,0.4462363,0.74925244,1.4728868,1.6958903,1.9357716,1.6699352
13,['20653N2'],1.7287465,3.2664442,0.64322925,1.2927525,0.46830454,0.99843764,1.4215168,1.2499392,0.7566187,0.79127,0.5526026,0.5640744,1.1408006,0.9805143,0.5881494,0.67953765,0.4891327,0.5160924,0.0,-0.11082578,0.0,0.41052294,0.0,0.34077632,0.0,-0.1632942,0.0,-0.054266334,0.0,0.10922229
14,['16310N2'],4.9658036,6.2500796,2.2904048,2.3482451,1.6282254,1.7826877,4.3671536,5.402798,2.4415789,2.4498026,1.5558233,1.6704304,3.5306332,4.5155134,2.3135095,2.3495283,1.4894446,1.7294092,1.8355311,3.5820885,4.036141,3.8188334,3.178302,3.241572,0.87859315,1.4076775,2.673126,3.0970263,3.0859206,3.024825
15,['20400N2'],2.0362437,3.5176015,1.2810209,1.4104028,0.9027315,0.8271891,1.1573052,1.264321,1.1923988,0.7225437,0.8137786,0.5400219,0.6809246,0.9601264,1.1172627,0.62943816,0.81000465,0.58504224,0.0,-0.30839765,0.0,0.79344857,0.0,0.90082216,0.0,-0.6995722,0.0,0.03405881,0.0,0.3593986
16,['09000N3'],4.175198,3.4947505,1.7455441,1.3215215,1.2447826,1.0252198,2.7981093,3.1460552,2.0441964,1.5295658,1.3317099,1.1481879,1.6367733,2.4196463,1.8968726,1.5237074,1.3498622,1.2138939,0.6268599,2.3618073,1.8689641,2.8065243,2.2745876,2.312984,0.11774533,0.86422503,0.6332052,1.7936512,0.8862269,1.8369957
17,['11040N2'],6.191709,5.3723197,2.4740517,1.9486005,1.9163365,1.5703284,6.2036395,5.8774548,2.699067,2.5428312,1.9146779,1.9447558,5.4233894,4.9634223,2.6378675,2.5655217,1.9451281,1.8700855,7.2012577,5.1284084,4.980438,4.4798813,3.678745,3.668538,4.527347,2.6134014,5.050307,3.9682794,4.5230002,3.5655565
18,['20080N2'],3.690353,2.505232,1.3853916,1.0295169,1.0134215,0.80544674,0.0,1.0614603,0.0,0.5761919,0.0,0.4544977,0.0,0.7921243,0.0,0.6187289,0.0,0.5904466,0.0,0.5184605,0.0,0.6349546,0.0,0.67619276,0.0,0.17980134,0.0,0.34794414,0.0,0.32643116
19,['20161N2'],2.4353635,3.2949116,0.8971621,1.1940694,0.6803052,0.9294427,2.6238425,2.8754866,0.9924441,1.3369334,0.6890502,1.0905168,2.359539,2.1546545,1.0446482,1.326034,0.71750367,1.1211865,2.456534,1.255146,2.257581,1.7452506,1.6117108,1.5359648,1.0420158,0.38901162,2.3061743,1.0507748,2.1907248,1.0856478
20,['21700N2'],12.346298,7.544471,4.2976394,2.9224396,3.08839,2.1678019,11.343734,5.5368695,4.23414,2.496832,3.0058448,1.9363642,10.481798,4.614604,4.208794,2.4523726,2.9306421,1.7984608,0.0,2.5510495,0.0,2.0782518,0.0,1.4209025,0.0,1.201907,0.0,1.8729857,0.0,1.5962514
21,['21393N2'],6.8281136,5.201593,2.3902085,1.8628702,1.7648096,1.3681558,0.0,3.1896698,0.0,1.2522717,0.0,0.93613076,0.0,2.5691512,0.0,1.255445,0.0,0.95831627,0.0,2.9284487,0.0,2.3434968,0.0,1.7643027,0.0,1.5050391,0.0,2.2063303,0.0,1.917957
22,['19500N2'],5.1259027,6.030331,1.9139364,2.2594879,1.4710139,1.8172399,5.1624894,5.4250674,2.1006162,2.3656929,1.5328664,1.8258295,4.559832,4.6905,2.0180085,2.2905369,1.5628898,1.7690161,6.0486274,5.532597,3.7391255,4.596931,2.7464097,3.524088,3.9546206,2.8793035,4.167782,4.1504116,3.3268518,3.7300372
23,['20390N2'],4.023161,3.6293674,1.5220153,1.3702534,1.1518638,1.035249,3.7309058,3.0798044,1.7903571,1.5062703,1.2826625,1.0697784,3.1224287,2.4669008,1.6599755,1.4242542,1.3166546,1.0993625,2.576259,2.1065109,3.4037821,2.5121217,2.9078832,2.203221,0.87071466,0.8457277,2.422432,1.7344989,2.6492724,1.7889155
24,['19240N3'],1.2003305,2.4002151,0.61933607,0.8690266,0.44674122,0.61694074,0.6650049,1.8714082,0.6949018,1.151254,0.5012331,0.85992754,0.24769874,1.2342389,0.52667964,1.1501515,0.4989897,0.8260354,0.0,-0.31721961,0.0,0.7049295,0.0,0.6975627,0.0,-0.5952395,0.0,-0.1652621,0.0,0.1054374
25,['21371N2'],2.6200275,4.0389957,0.8910824,1.4858235,0.5637754,1.005031,0.0,3.4388552,0.0,1.4881731,0.0,0.9678279,0.0,2.89697,0.0,1.5084685,0.0,1.1585895,0.0,3.3255572,0.0,2.8099189,0.0,2.4544945,0.0,1.6689858,0.0,2.6275694,0.0,2.3900957
26,['20173N2'],3.3630955,3.2098536,1.2814692,1.2131057,0.9459666,0.8922448,3.3264625,2.9337003,1.4275755,1.5168548,0.97566175,0.9750172,2.7746902,2.3824987,1.5308632,1.2866962,1.0531542,0.95549774,1.7260245,1.9601135,3.0277157,2.2499049,2.4168572,1.867148,0.7072377,0.8028345,2.2659645,1.6819259,2.5813925,1.6644962
27,['21631N2'],4.8964863,3.3357916,1.6734477,1.3148031,1.1548072,0.97545904,3.5808828,1.8873934,1.8625177,1.0621412,1.3025835,0.9175347,2.7044926,1.4844546,1.8509241,1.0919459,1.391795,0.87571335,0.0,0.3232509,0.0,1.0566298,0.0,0.9370878,0.0,-0.24164426,0.0,0.3741386,0.0,0.52816033
28,['17210N2'],3.1860745,3.0340743,1.1357273,1.0586321,0.83342755,0.7090732,2.164865,1.8237715,1.5473912,0.8628051,1.1096206,0.5855651,1.5223613,1.4022856,1.2523702,0.8744368,1.093931,0.87917405,0.0,0.9344065,0.0,1.169539,0.0,1.1563612,0.0,0.34280193,0.0,0.746153,0.0,0.8413265
