Number,Name,PLD,LCD,VSA,Density,VF,H,C,N,O,Metal,Metal_count,Number_group
0,05000N2,3.10007,4.22868,0.0,0.909019,0.514,24.0,36.0,0.0,12.0,0,0,6
1,05001N2,23.42513,23.65787,1041.72,0.583969,0.732,48.0,108.0,0.0,24.0,0,0,6
2,07000N2,31.34049,31.52022,891.792,0.44676,0.7836,72.0,144.0,0.0,24.0,0,0,12
3,07001N2,8.56216,9.14896,1201.04,0.996063,0.537,18.0,48.0,0.0,12.0,0,0,0
4,07002N2,16.21639,16.54198,1168.82,0.698051,0.6572,42.0,84.0,0.0,12.0,0,0,6
5,07010N3,7.98975,9.04156,2179.94,0.420553,0.7736,192.0,300.0,0.0,48.0,0,0,48
6,07011N3,8.50466,9.68318,2089.62,0.388736,0.7912,192.0,288.0,0.0,48.0,0,0,48
7,07012N3,16.12301,18.79873,1151.51,0.176283,0.905,288.0,576.0,0.0,96.0,0,0,48
8,07013N3,19.05082,27.47264,1071.74,0.170478,0.9134,72.0,147.0,0.0,24.0,0,0,12
9,08000N3,5.40897,9.86844,2313.71,0.522061,0.7234,480.0,428.0,0.0,96.0,0,0,48
10,08010N2,7.65138,8.38514,502.936,0.880672,0.5446,96.0,96.0,0.0,24.0,0,0,0
11,08011N2,9.83865,10.52235,1269.32,0.791326,0.6038,72.0,84.0,0.0,24.0,0,0,0
12,08012N2,12.23712,12.73227,1498.0,0.736984,0.6376,48.0,72.0,0.0,24.0,0,0,0
13,08013N2,14.32867,14.70932,1323.94,0.737315,0.663,24.0,60.0,0.0,24.0,0,0,0
14,08020N2,8.40704,8.94082,1084.58,1.01943,0.5154,24.0,48.0,12.0,0.0,0,0,6
15,08030N2,28.52404,28.70553,932.106,0.524353,0.7524,72.0,168.0,0.0,24.0,0,0,0
16,09000N3,9.26179,9.35856,2048.08,0.545319,0.7224,112.0,164.0,16.0,0.0,0,0,24
17,09010N2,13.33522,13.70782,1276.32,0.869092,0.5726,48.0,96.0,0.0,12.0,0,0,0
18,10000N2,10.55911,10.99477,1223.94,0.904999,0.564,36.0,72.0,12.0,0.0,0,0,0
19,10001N2,3.31316,4.88531,1479.9,0.904999,0.557,36.0,72.0,12.0,0.0,0,0,0
20,10010N2,16.54632,16.84184,1122.51,0.790253,0.6416,36.0,88.0,16.0,16.0,0,0,4
21,10020N2,16.38076,16.6896,1155.59,0.659293,0.6528,60.0,96.0,0.0,0.0,0,0,12
