,name,smile
0,05000N2.cif,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2]
1,05001N2.cif,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2]
2,07000N2.cif,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2]
3,07001N2.cif,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2]
4,07002N2.cif,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2]
5,07010N3.cif,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2]
6,07011N3.cif,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[SiH4].[SiH4].[SiH4].[SiH4].[SiH4].[SiH4].[SiH4].[SiH4].[SiH4].[SiH4].[SiH4].[SiH4]
7,07013N3.cif,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2]
8,08010N2.cif,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2]
9,08011N2.cif,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2]
