Number,Name,H,C,N,O,Metal,Metal_count
0,05000N2,24.0,36.0,0.0,12.0,None,0
1,05001N2,48.0,108.0,0.0,24.0,None,0
2,07000N2,72.0,144.0,0.0,24.0,None,0
3,07001N2,18.0,48.0,0.0,12.0,None,0
4,07002N2,42.0,84.0,0.0,12.0,None,0
5,07010N3,192.0,300.0,0.0,48.0,None,0
6,07011N3,192.0,288.0,0.0,48.0,None,0
7,07012N3,288.0,576.0,0.0,96.0,None,0
8,07013N3,72.0,147.0,0.0,24.0,None,0
9,08000N3,480.0,428.0,0.0,96.0,None,0
10,08010N2,96.0,96.0,0.0,24.0,None,0
11,08011N2,72.0,84.0,0.0,24.0,None,0
12,08012N2,48.0,72.0,0.0,24.0,None,0
13,08013N2,24.0,60.0,0.0,24.0,None,0
14,08020N2,24.0,48.0,12.0,0.0,None,0
15,08030N2,72.0,168.0,0.0,24.0,None,0
16,09000N3,112.0,164.0,16.0,0.0,None,0
17,09010N2,48.0,96.0,0.0,12.0,None,0
18,10000N2,36.0,72.0,12.0,0.0,None,0
19,10001N2,36.0,72.0,12.0,0.0,None,0
20,10010N2,36.0,88.0,16.0,16.0,None,0
21,10020N2,60.0,96.0,0.0,0.0,None,0
22,11000N2,108.0,108.0,24.0,24.0,None,0
23,11001N2,108.0,108.0,24.0,24.0,None,0
24,11002N2,156.0,180.0,24.0,24.0,None,0
25,11003N2,156.0,180.0,24.0,24.0,None,0
26,11010N2,96.0,352.0,96.0,64.0,Ni,8
27,11020N2,48.0,72.0,12.0,0.0,None,0
28,11030N2,76.0,120.0,16.0,0.0,None,0
29,11031N2,152.0,288.0,16.0,32.0,None,0
30,11040N2,72.0,168.0,0.0,24.0,None,0
31,12000N2,48.0,72.0,12.0,12.0,None,0
32,12001N2,72.0,84.0,12.0,12.0,None,0
33,12010N2,240.0,448.0,32.0,64.0,None,0
34,12011N2,224.0,448.0,32.0,64.0,Zn,8
35,12012N2,224.0,448.0,32.0,64.0,Cu,8
36,12020N2,48.0,128.0,16.0,16.0,Zn,2
37,12022N2,48.0,128.0,16.0,16.0,Zn,2
38,12023N2,64.0,168.0,24.0,32.0,Zn,2
39,12024N2,64.0,152.0,16.0,16.0,Zn,2
40,12030N2,36.0,108.0,12.0,24.0,None,0
41,12040N2,72.0,120.0,0.0,24.0,None,0
42,12050N2,36.0,48.0,6.0,0.0,None,0
43,12051N2,36.0,48.0,6.0,0.0,None,0
44,12060N2,128.0,352.0,64.0,64.0,Zn,8
45,12061N2,128.0,352.0,64.0,64.0,Cu,8
46,12062N2,128.0,352.0,64.0,64.0,Co,8
47,13000N2,0.0,48.0,12.0,0.0,None,0
48,13010N2,96.0,204.0,0.0,24.0,None,0
49,13011N2,120.0,264.0,0.0,24.0,None,0
50,13012N2,120.0,240.0,0.0,24.0,None,0
51,13020N2,56.0,116.0,0.0,24.0,None,0
52,13030N2,6.0,18.0,6.0,0.0,None,0
53,13040N3,144.0,212.0,16.0,0.0,None,0
54,13050N2,60.0,120.0,12.0,24.0,None,0
55,13051N2,48.0,72.0,12.0,12.0,None,0
56,13060N2,104.0,176.0,16.0,0.0,None,0
57,13070N2,60.0,108.0,24.0,36.0,None,0
58,13071N2,96.0,120.0,12.0,12.0,None,0
59,13072N2,84.0,108.0,24.0,12.0,None,0
60,13073N2,60.0,108.0,24.0,36.0,None,0
61,13074N2,96.0,120.0,12.0,24.0,None,0
62,13075N2,36.0,72.0,12.0,12.0,None,0
63,13076N2,24.0,72.0,12.0,12.0,None,0
64,13077N2,42.0,72.0,18.0,24.0,None,0
65,13078N2,48.0,72.0,12.0,30.0,None,0
66,13080N2,60.0,168.0,24.0,0.0,None,0
67,13090N2,36.0,108.0,0.0,24.0,None,0
68,13100N2,136.0,224.0,16.0,0.0,None,0
69,13101N2,136.0,224.0,16.0,0.0,None,0
70,13110N2,112.0,208.0,32.0,16.0,Cu,4
71,13120N2,48.0,78.0,8.0,0.0,None,0
72,13121N2,144.0,228.0,16.0,0.0,None,0
73,13122N2,102.0,156.0,2.0,0.0,None,0
74,13123N2,60.0,114.0,20.0,0.0,None,0
75,13130N2,96.0,228.0,12.0,48.0,None,0
76,13140N2,12.0,24.0,0.0,12.0,None,0
77,13141N2,24.0,48.0,0.0,12.0,None,0
78,13142N2,12.0,36.0,0.0,12.0,None,0
79,13150N2,72.0,108.0,12.0,12.0,None,0
80,13160N2,144.0,240.0,32.0,0.0,Cu,4
81,13161N2,112.0,240.0,32.0,0.0,Cu,4
82,13170N2,100.0,192.0,32.0,16.0,None,0
83,13180N3,32.0,50.0,8.0,8.0,None,0
84,13181N3,32.0,48.0,8.0,8.0,None,0
85,13182N3,56.0,68.0,8.0,8.0,None,0
86,13190N2,120.0,144.0,12.0,12.0,None,0
87,13191N2,144.0,180.0,12.0,12.0,None,0
88,14000N2,24.0,36.0,12.0,0.0,None,0
89,14010N2,84.0,148.0,8.0,0.0,None,0
90,14020N2,168.0,252.0,24.0,0.0,None,0
91,14030N2,144.0,264.0,24.0,24.0,None,0
92,14031N2,144.0,264.0,24.0,24.0,None,0
93,14040N2,144.0,180.0,24.0,24.0,None,0
94,14050N3,60.0,78.0,0.0,0.0,None,0
95,14051N3,60.0,66.0,12.0,12.0,None,0
96,14060N2,56.0,92.0,8.0,0.0,None,0
97,14070N2,152.0,256.0,32.0,0.0,None,0
98,14071N2,152.0,256.0,32.0,0.0,None,0
99,14072N2,136.0,224.0,16.0,16.0,None,0
100,14073N2,136.0,224.0,16.0,16.0,None,0
101,14080N2,72.0,144.0,12.0,24.0,None,0
102,14090N2,72.0,108.0,24.0,12.0,None,0
103,14091N2,76.0,120.0,12.0,12.0,None,0
104,14100N2,48.0,72.0,12.0,0.0,None,0
105,15000N2,0.0,24.0,12.0,0.0,None,0
106,15010N2,84.0,144.0,8.0,0.0,None,0
107,15020N2,168.0,256.0,48.0,16.0,None,0
108,15021N2,68.0,120.0,24.0,16.0,None,0
109,15030N2,60.0,90.0,6.0,6.0,None,0
110,15031N2,72.0,126.0,6.0,12.0,None,0
111,15040N2,42.0,66.0,6.0,0.0,None,0
112,15050N2,24.0,36.0,12.0,12.0,None,0
113,15060N2,120.0,180.0,36.0,0.0,None,0
114,15061N2,120.0,204.0,36.0,0.0,None,0
115,15070N2,96.0,144.0,12.0,12.0,None,0
116,15071N2,96.0,144.0,12.0,12.0,None,0
117,15072N2,80.0,120.0,16.0,8.0,None,0
118,15080N2,92.0,128.0,8.0,24.0,None,0
119,15081N2,152.0,240.0,32.0,16.0,None,0
120,15090N2,152.0,240.0,32.0,16.0,None,0
121,15091N2,192.0,256.0,32.0,16.0,None,0
122,15100N2,84.0,168.0,24.0,24.0,None,0
123,15101N2,36.0,96.0,24.0,36.0,None,0
124,15110N2,48.0,132.0,0.0,24.0,None,0
125,15111N2,96.0,228.0,0.0,24.0,None,0
126,15120N2,114.0,174.0,30.0,12.0,None,0
127,15130N2,48.0,132.0,0.0,24.0,None,0
128,15131N2,48.0,156.0,0.0,24.0,None,0
129,15140N2,108.0,144.0,12.0,0.0,None,0
130,15150N2,160.0,272.0,32.0,16.0,None,0
131,15160N2,114.0,102.0,6.0,6.0,None,0
132,15161N2,138.0,138.0,6.0,0.0,None,0
133,15162N2,42.0,66.0,6.0,6.0,None,0
134,15163N2,66.0,102.0,6.0,0.0,None,0
135,15170N2,108.0,204.0,12.0,0.0,None,0
136,15171N2,84.0,132.0,12.0,0.0,None,0
137,15180N2,64.0,168.0,24.0,32.0,Cu,2
138,15181N2,80.0,208.0,24.0,32.0,Cu,2
139,15182N2,56.0,152.0,24.0,32.0,Cu,2
140,15183N2,64.0,168.0,24.0,32.0,Ni,2
141,15184N2,80.0,208.0,24.0,32.0,Ni,2
142,15185N2,56.0,152.0,24.0,32.0,Ni,2
143,15186N2,84.0,204.0,12.0,48.0,None,0
144,15190N2,12.0,36.0,12.0,12.0,None,0
145,15200N3,32.0,60.0,8.0,16.0,None,0
146,15201N3,40.0,90.0,8.0,16.0,None,0
147,15202N3,40.0,90.0,8.0,16.0,None,0
148,15210N2,48.0,108.0,0.0,24.0,None,0
149,15211N2,96.0,216.0,0.0,48.0,None,0
150,15220N2,30.0,60.0,12.0,0.0,None,0
151,15240N2,132.0,168.0,24.0,0.0,None,0
152,15241N2,132.0,168.0,24.0,0.0,None,0
153,15242N2,102.0,126.0,18.0,0.0,None,0
154,15243N2,102.0,126.0,18.0,0.0,None,0
155,15250N2,72.0,108.0,12.0,0.0,None,0
156,15251N2,68.0,104.0,16.0,0.0,None,0
157,15252N2,64.0,100.0,20.0,0.0,None,0
158,15253N2,60.0,96.0,24.0,0.0,None,0
159,16000N2,72.0,192.0,0.0,24.0,None,0
160,16001N2,72.0,216.0,0.0,24.0,None,0
161,16002N2,72.0,204.0,0.0,24.0,None,0
162,16010N2,0.0,0.0,0.0,0.0,None,0
163,16011N2,0.0,0.0,0.0,0.0,None,0
164,16020N2,0.0,0.0,0.0,0.0,None,0
165,16030N2,96.0,150.0,24.0,0.0,None,0
166,16031N2,138.0,174.0,30.0,0.0,None,0
167,16032N2,138.0,174.0,30.0,12.0,None,0
168,16040N2,52.0,84.0,8.0,0.0,None,0
169,16041N2,88.0,132.0,12.0,0.0,None,0
170,16050N2,40.0,104.0,20.0,16.0,Ni,2
171,16051N2,88.0,216.0,8.0,48.0,None,0
172,16052N2,124.0,296.0,4.0,48.0,None,0
173,16053N2,128.0,296.0,0.0,48.0,None,0
174,16054N2,84.0,216.0,12.0,48.0,None,0
175,16055N2,112.0,256.0,0.0,48.0,None,0
176,16056N2,0.0,0.0,0.0,0.0,None,0
177,16057N2,76.0,216.0,4.0,48.0,None,0
178,16058N2,44.0,116.0,8.0,24.0,None,0
179,16060N2,200.0,244.0,16.0,16.0,None,0
180,16061N2,264.0,340.0,16.0,16.0,None,0
181,16070N2,0.0,0.0,0.0,0.0,None,0
182,16080N2,192.0,296.0,40.0,0.0,None,0
183,16081N2,192.0,296.0,40.0,0.0,None,0
184,16082N2,192.0,296.0,40.0,0.0,None,0
185,16083N2,192.0,296.0,40.0,0.0,None,0
186,16090N2,72.0,108.0,12.0,0.0,None,0
187,16100N2,54.0,90.0,18.0,0.0,None,0
188,16110N3,96.0,114.0,12.0,12.0,None,0
189,16111N3,384.0,456.0,48.0,48.0,None,0
190,16112N3,84.0,114.0,12.0,12.0,None,0
191,16113N3,336.0,456.0,48.0,48.0,None,0
192,16120N2,42.0,66.0,18.0,12.0,None,0
193,16121N2,176.0,272.0,64.0,70.0,None,0
194,16130N3,72.0,171.0,0.0,24.0,Ni,4
195,16131N3,288.0,684.0,0.0,96.0,Ni,16
196,16140N2,168.0,252.0,24.0,24.0,None,0
197,16141N2,96.0,144.0,12.0,12.0,None,0
198,16142N2,96.0,144.0,12.0,0.0,None,0
199,16150N2,72.0,120.0,12.0,12.0,None,0
200,16160N2,48.0,108.0,24.0,12.0,None,0
201,16170N2,136.0,224.0,16.0,0.0,None,0
202,16171N2,104.0,224.0,16.0,0.0,None,0
203,16172N2,168.0,288.0,16.0,0.0,None,0
204,16173N2,184.0,352.0,32.0,0.0,None,0
205,16174N2,232.0,368.0,16.0,16.0,None,0
206,16180C2,112.0,144.0,4.0,16.0,None,0
207,16181C2,80.0,136.0,0.0,16.0,None,0
208,16190N2,156.0,240.0,28.0,0.0,None,0
209,16191N2,204.0,312.0,28.0,0.0,None,0
210,16200N2,48.0,72.0,12.0,48.0,None,0
211,16201N2,48.0,72.0,12.0,30.0,None,0
212,16210N2,48.0,120.0,24.0,24.0,None,0
213,16211N2,48.0,120.0,24.0,36.0,None,0
214,16220N2,72.0,108.0,24.0,12.0,None,0
215,16230N2,36.0,60.0,12.0,6.0,None,0
216,16240C2,18.0,20.0,12.0,6.0,None,0
217,16241C2,18.0,20.0,12.0,6.0,None,0
218,16242C2,18.0,20.0,12.0,6.0,None,0
219,16250N3,84.0,138.0,8.0,0.0,None,0
220,16251N3,168.0,276.0,16.0,0.0,None,0
221,16260N2,180.0,144.0,24.0,24.0,None,0
222,16270N2,168.0,252.0,24.0,0.0,None,0
223,16271N2,216.0,324.0,24.0,0.0,None,0
224,16272N2,264.0,396.0,24.0,0.0,None,0
225,16273N2,144.0,252.0,24.0,0.0,None,0
226,16280C2,168.0,240.0,24.0,0.0,None,0
227,16290N3,384.0,608.0,64.0,0.0,None,0
228,16300N2,96.0,144.0,12.0,0.0,None,0
229,16310N2,116.0,180.0,16.0,8.0,None,0
230,16311N2,108.0,172.0,24.0,8.0,None,0
231,16312N2,76.0,120.0,16.0,4.0,None,0
232,16320N2,72.0,108.0,12.0,12.0,None,0
233,16330N2,72.0,108.0,12.0,0.0,None,0
234,16331N2,84.0,132.0,24.0,0.0,None,0
235,16332N3,64.0,120.0,16.0,32.0,None,0
236,16340N2,104.0,176.0,32.0,16.0,None,0
237,16350N2,48.0,132.0,0.0,24.0,None,0
238,16351N2,96.0,156.0,0.0,36.0,None,0
239,16360N2,54.0,90.0,18.0,12.0,None,0
240,16361N2,84.0,132.0,24.0,12.0,None,0
241,16370N2,12.0,24.0,12.0,0.0,None,0
242,16371N2,36.0,72.0,12.0,0.0,None,0
243,16380N2,108.0,168.0,36.0,0.0,None,0
244,16381N2,96.0,144.0,12.0,0.0,None,0
245,16390N2,68.0,120.0,8.0,0.0,None,0
246,16400N2,120.0,228.0,0.0,48.0,None,0
247,16410C2,120.0,162.0,18.0,12.0,None,0
248,16411C2,120.0,162.0,18.0,12.0,None,0
249,16412C2,120.0,162.0,18.0,12.0,None,0
250,16413C2,120.0,162.0,18.0,12.0,None,0
251,16420N2,108.0,132.0,24.0,24.0,None,0
252,16430N2,168.0,156.0,12.0,12.0,None,0
253,16440N2,120.0,156.0,12.0,12.0,None,0
254,16450N2,76.0,120.0,16.0,0.0,None,0
255,16460N2,168.0,264.0,48.0,24.0,None,0
256,16470N2,60.0,96.0,0.0,0.0,None,0
257,16480N2,54.0,90.0,18.0,0.0,None,0
258,16481N2,54.0,90.0,18.0,0.0,None,0
259,16490N2,72.0,72.0,36.0,0.0,None,0
260,16500N2,24.0,72.0,36.0,0.0,None,0
261,16510N2,84.0,144.0,24.0,0.0,None,0
262,17000N2,168.0,368.0,32.0,32.0,None,0
263,17010N2,66.0,102.0,6.0,0.0,None,0
264,17020N2,60.0,96.0,24.0,12.0,None,0
265,17030N2,96.0,144.0,12.0,12.0,None,0
266,17040N2,208.0,352.0,32.0,0.0,None,0
267,17050N2,120.0,156.0,12.0,0.0,None,0
268,17060N2,156.0,252.0,28.0,0.0,None,0
269,17061N2,108.0,180.0,28.0,0.0,None,0
270,17070N2,84.0,132.0,24.0,12.0,None,0
271,17080C2,120.0,172.0,16.0,0.0,None,0
272,17090N3,144.0,212.0,16.0,0.0,None,0
273,17091N3,128.0,196.0,32.0,0.0,None,0
274,17100N2,60.0,144.0,24.0,24.0,None,0
275,17110N2,192.0,192.0,12.0,12.0,None,0
276,17120N2,60.0,42.0,24.0,0.0,None,0
277,17130N2,360.0,552.0,48.0,0.0,None,0
278,17131N2,264.0,408.0,48.0,0.0,None,0
279,17140N2,72.0,114.0,12.0,0.0,None,0
