Number,Name,H,C,N,O,Metal,Metal_count
0,18170N2,80.0,96.0,16.0,16.0,None,0
1,18171N2,48.0,72.0,8.0,16.0,None,0
2,20680N2,72.0,108.0,36.0,24.0,None,0
3,20690N2,48.0,72.0,12.0,12.0,None,0
4,20700N2,62.0,104.0,12.0,0.0,None,0
5,20701N2,84.0,147.0,18.0,0.0,None,0
6,21740N2,120.0,196.0,16.0,0.0,None,0
7,21750N2,138.0,212.0,24.0,24.0,None,0
8,21751N2,96.0,180.0,24.0,24.0,Ni,12
9,21752N2,97.0,180.0,24.0,24.0,Ni,10
10,21760N3,112.0,170.0,8.0,8.0,None,0
11,21761N2,176.0,288.0,16.0,0.0,None,0
12,21770N2,60.0,84.0,24.0,12.0,None,0
13,21771N2,72.0,84.0,36.0,12.0,None,0
14,21780N2,128.0,196.0,16.0,0.0,None,0
15,21781N2,112.0,168.0,20.0,0.0,None,0
16,21790N3,516.0,813.0,36.0,0.0,None,0
17,21800N2,160.0,176.0,12.0,16.0,None,0
18,21810N2,42.0,66.0,6.0,0.0,None,0
19,21811N2,36.0,60.0,12.0,0.0,None,0
20,21820N2,84.0,96.0,24.0,24.0,None,0
21,21821N2,144.0,132.0,24.0,42.0,None,0
22,21822N2,192.0,156.0,24.0,54.0,None,0
23,21823N2,168.0,144.0,24.0,48.0,None,0
24,21830N2,152.0,288.0,32.0,48.0,None,0
25,21840N2,152.0,272.0,32.0,0.0,None,0
26,21850N2,576.0,584.0,56.0,0.0,None,0
27,21860N2,168.0,304.0,32.0,0.0,None,0
28,22050N2,232.0,264.0,24.0,8.0,None,0
29,22060N2,54.0,96.0,26.0,0.0,None,0
30,22061N2,60.0,102.0,20.0,0.0,None,0
31,22070N2,156.0,156.0,48.0,24.0,None,0
32,22080N2,92.0,152.0,16.0,0.0,None,0
33,22090N2,496.0,896.0,64.0,64.0,Cu,8
34,22091N2,496.0,896.0,64.0,64.0,Cu,8
35,22100N2,68.0,96.0,8.0,8.0,None,0
36,221010N2,136.0,224.0,16.0,16.0,None,0
37,221011N2,68.0,112.0,8.0,0.0,None,0
38,221012N2,168.0,272.0,16.0,16.0,None,0
39,221013N2,168.0,272.0,16.0,0.0,None,0
40,22101N2,36.0,60.0,12.0,6.0,None,0
41,22102N2,168.0,252.0,24.0,24.0,None,0
42,22103N2,156.0,240.0,24.0,24.0,None,0
43,22104N2,128.0,224.0,16.0,16.0,None,0
44,22105N2,68.0,96.0,8.0,0.0,None,0
45,22106N2,36.0,60.0,12.0,0.0,None,0
