Number,Name,Number_group
0,05000N2,6
1,05001N2,6
2,07000N2,12
3,07001N2,0
4,07002N2,6
5,07010N3,48
6,07011N3,48
7,07012N3,48
8,07013N3,12
9,08000N3,48
10,08010N2,0
11,08011N2,0
12,08012N2,0
13,08013N2,0
14,08020N2,6
15,08030N2,0
16,09000N3,24
17,09010N2,0
18,10000N2,0
19,10001N2,0
20,10010N2,4
21,10020N2,12
22,11000N2,0
23,11001N2,0
24,11002N2,12
25,11003N2,12
26,11010N2,0
27,11020N2,6
28,11030N2,12
29,11031N2,16
30,11040N2,12
31,12000N2,6
32,12001N2,0
33,12010N2,32
34,12011N2,32
35,12012N2,32
36,12020N2,0
37,12022N2,8
38,12023N2,8
39,12024N2,12
40,12030N2,0
41,12040N2,6
42,12050N2,6
43,12051N2,6
44,12060N2,16
45,12061N2,16
46,12062N2,16
47,13000N2,0
48,13010N2,6
49,13011N2,0
50,13012N2,12
51,13020N2,6
52,13030N2,0
53,13040N3,32
54,13050N2,0
55,13051N2,6
56,13060N2,16
57,13070N2,0
58,13071N2,0
59,13072N2,0
60,13073N2,0
61,13074N2,0
62,13075N2,0
63,13076N2,0
64,13077N2,0
65,13078N2,0
66,13080N2,0
67,13090N2,0
68,13100N2,24
69,13101N2,24
70,13110N2,16
71,13120N2,12
72,13121N2,36
73,13122N2,24
74,13123N2,12
75,13130N2,12
76,13140N2,0
77,13141N2,0
78,13142N2,0
79,13150N2,12
80,13160N2,24
81,13161N2,16
82,13170N2,8
83,13180N3,8
84,13181N3,8
85,13182N3,8
86,13190N2,6
87,13191N2,12
88,14000N2,0
89,14010N2,16
90,14020N2,36
91,14030N2,12
92,14031N2,12
93,14040N2,12
94,14050N3,0
95,14051N3,0
96,14060N2,12
97,14070N2,16
98,14071N2,16
99,14072N2,16
100,14073N2,16
101,14080N2,12
102,14090N2,12
103,14091N2,12
104,14100N2,6
105,15000N2,0
106,15010N2,8
107,15020N2,24
108,15021N2,8
109,15030N2,12
110,15031N2,12
111,15040N2,6
112,15050N2,0
113,15060N2,12
114,15061N2,12
115,15070N2,12
116,15071N2,12
117,15072N2,8
118,15080N2,10
119,15081N2,16
120,15090N2,16
121,15091N2,16
122,15100N2,12
123,15101N2,0
124,15110N2,6
125,15111N2,6
126,15120N2,24
127,15130N2,6
128,15131N2,6
129,15140N2,18
130,15150N2,16
131,15160N2,0
132,15161N2,6
133,15162N2,6
134,15163N2,12
135,15170N2,18
136,15171N2,18
137,15180N2,8
138,15181N2,8
139,15182N2,8
140,15183N2,8
141,15184N2,8
142,15185N2,8
143,15186N2,12
144,15190N2,0
145,15200N3,0
146,15201N3,8
147,15202N3,8
148,15210N2,0
149,15211N2,0
150,15220N2,6
151,15240N2,6
152,15241N2,6
153,15242N2,0
154,15243N2,0
155,15250N2,12
156,15251N2,12
157,15252N2,12
158,15253N2,12
159,16000N2,0
160,16001N2,0
161,16002N2,0
162,16010N2,0
163,16011N2,12
164,16020N2,0
165,16030N2,12
166,16031N2,12
167,16032N2,12
168,16040N2,8
169,16041N2,20
170,16050N2,2
171,16051N2,8
172,16052N2,2
173,16053N2,4
174,16054N2,6
175,16055N2,8
176,16056N2,2
177,16057N2,2
178,16058N2,0
179,16060N2,32
180,16061N2,48
181,16070N2,0
182,16080N2,44
183,16081N2,44
184,16082N2,36
185,16083N2,36
186,16090N2,12
187,16100N2,12
188,16110N3,12
189,16111N3,48
190,16112N3,0
191,16113N3,0
192,16120N2,0
193,16121N2,0
194,16130N3,12
195,16131N3,48
196,16140N2,36
197,16141N2,18
198,16142N2,18
199,16150N2,0
200,16160N2,8
201,16170N2,24
202,16171N2,16
203,16172N2,32
204,16173N2,32
205,16174N2,32
206,16180C2,0
207,16181C2,0
208,16190N2,24
209,16191N2,36
210,16200N2,0
211,16201N2,0
212,16210N2,0
213,16211N2,0
214,16220N2,12
215,16230N2,6
216,16240C2,0
217,16241C2,0
218,16242C2,0
219,16250N3,16
220,16251N3,32
221,16260N2,0
222,16270N2,36
223,16271N2,48
224,16272N2,60
225,16273N2,24
226,16280C2,24
227,16290N3,64
228,16300N2,18
229,16310N2,14
230,16311N2,14
