,name,out1,pre1,out2,pre2,out3,pre3,out4,pre4,out5,pre5,out6,pre6,out7,pre7,out8,pre8,out9,pre9,out10,pre10,out11,pre11,out12,pre12,out13,pre13,out14,pre14,out15,pre15
0,['18060N2'],2.6759655,2.7510595,1.0522838,0.912885,0.6873419,0.3452096,0.0,0.8588034,0.0,0.40127802,0.0,0.33700037,0.0,0.9355381,0.0,0.3352865,0.0,0.3190453,0.0,0.618289,0.0,0.46679807,0.0,0.2948426,0.0,0.25506902,0.0,0.44759905,0.0,0.3089205
1,['13170N2'],8.469896,8.975626,3.6958914,3.3893595,2.5300865,2.2812562,7.8601656,7.788087,3.477633,3.099789,2.3986478,2.4774368,7.294402,6.8037806,3.3255463,3.122374,2.2736804,2.4428015,9.192777,7.101659,4.843617,5.598819,3.311673,4.199876,7.7047296,4.1557465,5.8009343,5.1864805,4.1073213,4.4885755
2,['16371N2'],0.8342011,2.2521694,0.11136644,0.7480172,0.049642213,0.49057436,0.0,0.5770875,0.0,0.58849,0.0,0.26400113,0.0,0.49361253,0.0,0.5871606,0.0,0.40070522,0.0,-1.0986547,0.0,-0.046837687,0.0,0.09411788,0.0,-0.806334,0.0,-0.90211153,0.0,-0.39971924
3,['19200N2'],5.160747,5.9345026,2.5317283,2.1440785,1.5921019,1.5071716,3.402346,3.4938235,2.442382,2.1588554,1.6528589,1.5550789,2.4540653,2.6961277,2.2245011,1.7481759,1.6092019,1.3982499,1.1093243,1.8099697,2.9321876,3.0789971,2.9675844,2.7810037,0.36334154,0.24997866,1.5543103,1.8442619,1.9808748,1.9989957
4,['21180N2'],4.7404633,6.0829926,1.690518,2.2230883,1.1663672,1.4697163,0.0,3.486997,0.0,1.6815437,0.0,1.2374246,0.0,2.940693,0.0,1.5815765,0.0,1.1539412,0.0,2.674787,0.0,2.541416,0.0,1.8405087,0.0,1.6110251,0.0,2.116984,0.0,1.8109622
5,['19252N3'],2.3683121,3.5362234,1.1851563,1.3152566,0.70924944,0.85781145,1.6947256,1.9113996,1.2812029,1.0885663,0.7771875,0.76392734,1.1610883,1.4492676,1.3030716,1.0882707,0.8586712,0.76623225,0.0,0.36867476,0.0,1.1166506,0.0,1.0406013,0.0,-0.054371834,0.0,0.39434457,0.0,0.5892507
6,['20621N2'],0.2503273,2.0316746,0.4813455,0.68031776,0.2641813,0.37048888,0.0,-0.064692855,0.0,0.3540622,0.0,0.051531076,0.0,0.04525733,0.0,0.28229356,0.0,0.1197325,0.0,-1.2051756,0.0,-0.3411579,0.0,-0.296026,0.0,-0.64933753,0.0,-0.9067364,0.0,-0.71791315
7,['19122N2'],4.19914,2.828611,1.38201,1.1060228,0.96117437,0.59491205,0.0,0.6621382,0.0,0.3310343,0.0,0.30811894,0.0,0.5858481,0.0,0.30353868,0.0,0.2590412,0.0,0.23113811,0.0,0.5041126,0.0,0.32820976,0.0,-0.012454867,0.0,0.3354379,0.0,0.20602047
8,['19271N2'],3.5761654,6.0928183,1.8373122,2.340501,1.145093,1.5177842,2.5102057,4.5185966,1.7700071,2.094801,1.1142745,1.6051276,1.8458649,3.7263217,1.701206,2.1466842,1.0983278,1.5519437,0.8406074,2.8496118,2.211826,3.2034817,2.3735344,2.6358557,0.0,1.3623354,0.0,2.3979156,0.0,2.322633
9,['18121N3'],1.2085724,1.4655933,0.6156622,0.46848953,0.3728384,0.2421081,0.33331072,-0.43042803,0.46192864,0.4495734,0.42072314,0.037591696,0.15498061,-0.37189364,0.2765177,0.11933553,0.27910396,0.07085109,0.0,-1.484221,0.0,-0.66648126,0.0,-0.44297147,0.0,-0.95860696,0.0,-1.1839046,0.0,-1.0115778
10,['11040N2'],7.260859,7.6013813,2.6448653,2.665998,1.9163365,1.8320832,6.2036395,6.4658823,2.699067,2.5563006,1.9146779,1.8855219,5.4233894,5.808872,2.6378675,2.7129307,1.9451281,2.060931,7.2012577,5.6598606,4.980438,4.626007,3.678745,3.58601,4.527347,3.7482977,5.050307,4.089165,4.5230002,3.5623488
11,['16040N2'],2.3217869,3.751103,1.0394388,1.3808348,0.6387541,0.95297426,1.4457299,2.1736338,1.0012457,1.4771571,0.6579411,0.8558427,1.0482577,1.5453165,0.9313074,1.3592044,0.6288584,0.83504784,0.0,0.16197014,0.0,1.2438397,0.0,1.2185318,0.0,-0.27196765,0.0,0.24201691,0.0,0.5328965
12,['20281N2'],5.23569,4.0561953,1.7281345,1.4904315,1.2051828,0.90132546,3.9789762,2.9383616,1.906877,1.6959008,1.3132267,1.094423,3.1059463,2.2717087,1.9326307,1.5953076,1.3927917,1.1737248,1.9824562,0.7243022,3.712242,1.7940657,3.2868273,1.5460498,0.6622824,-0.037443876,2.1351256,0.5897378,2.6358225,0.912819
13,['17020N2'],4.7357907,3.426993,1.5926083,1.3567693,1.1036223,0.6972023,0.0,1.0996912,0.0,0.6523315,0.0,0.42168546,0.0,0.9893045,0.0,0.5787666,0.0,0.5315232,0.0,-0.09928203,0.0,0.8504149,0.0,0.6903529,0.0,-0.19445682,0.0,0.28956175,0.0,0.24065089
14,['19440N2'],0.5325666,3.6970363,0.479919,1.2162993,0.2889394,0.8049053,0.0,0.25810623,0.0,0.1969192,0.0,0.08078921,0.0,0.08261597,0.0,0.34784877,0.0,0.10039997,0.0,-0.1516788,0.0,-0.29097867,0.0,-0.26713586,0.0,-0.11615276,0.0,-0.3145423,0.0,-0.28682852
15,['18151N2'],3.7172403,3.387393,1.2788801,1.1638095,0.8747958,0.8547704,0.0,0.7068645,0.0,0.51031876,0.0,0.19789124,0.0,0.69191086,0.0,0.5361577,0.0,0.22511244,0.0,0.19392395,0.0,0.55484045,0.0,0.4099946,0.0,0.23999739,0.0,0.33212912,0.0,0.42290902
16,['15201N3'],17.83657,14.569585,7.072988,5.549118,5.3366714,3.9080782,16.269579,12.528472,6.7435455,4.9242935,4.992449,3.4201012,14.614061,11.256145,6.3651824,4.6844683,4.6613555,3.255188,20.956085,14.646654,9.444515,8.83928,6.640349,6.267026,17.358158,9.119654,11.283174,9.687573,7.998769,8.088881
