,name,out1,pre1,out2,pre2,out3,pre3
0,['17190N2'],4.387432,4.8774643,1.4243712,1.535884,0.96495354,1.0585781
1,['21690N2'],5.075123,4.2395067,1.734873,1.4312079,1.2378813,0.9590857
2,['17155N2'],3.3821642,3.4360032,1.1015426,1.208748,0.76044405,0.78133595
3,['19311N2_one_1.0'],3.290889,3.2751534,1.8360894,1.6014302,1.2655221,1.2316744
4,['18161N2_two_0.5'],1.3111451,1.690492,2.5490444,2.2204068,2.2127726,1.8955908
5,['19466N2'],5.0388923,3.6970458,1.739811,1.2733219,1.219928,0.8515843
6,['17091N3_one_1.0'],0.36206642,0.38709283,0.6111683,0.5394378,0.39808735,0.34287667
7,['16230N2'],2.859075,2.7046273,0.9767602,0.7624475,0.63311124,0.51496553
8,['16130N3_two_1.0'],16.993395,18.574026,10.127686,10.396784,7.0685854,7.676539
9,['13012N2_one_1.0'],3.9206457,3.4852064,1.8764805,1.6155119,1.425047,1.1705345
10,['19541N2'],4.651437,4.0568247,1.6466532,1.310746,1.1457136,0.87278295
11,['20571N3_two_0.5'],0.798755,1.0298327,2.2026954,3.7282193,2.4411817,3.3352888
12,['20311N2_one_1.0'],9.350463,8.821249,4.6690135,4.4590793,3.3182862,3.1748679
13,['16056N2_two_0.5'],4.920041,4.6298356,2.2285278,2.3528652,1.5059977,1.7399067
14,['21170N2_two_0.5'],6.0281153,4.9980283,4.2360806,3.8040695,3.1562295,2.9090204
15,['21080N2_one_0.5'],4.3476634,4.134798,1.9687704,1.8488733,1.3852448,1.316939
16,['20052N2_two_1.0'],2.6182938,2.9327772,3.3927844,3.3493066,2.7450168,2.8406928
17,['19341N2_one_0.5'],1.5498534,1.3514171,0.98592347,0.91225576,0.7475706,0.6612787
18,['21426N3'],13.833734,12.406483,4.6704874,4.141033,3.3712373,2.7673547
19,['16280C2_two_1.0'],5.5835185,3.599596,4.952498,4.389978,4.222751,3.9189818
20,['21011N2_two_1.0'],2.111682,2.5349023,3.6727471,3.525137,3.4009824,3.3225162
21,['19360N2_two_1.0'],0.5218284,0.9790176,1.8319315,2.1275544,2.2185884,2.3577347
22,['17000N2_two_1.0'],4.645358,4.328471,5.0361967,4.946937,3.6983929,3.8969314
23,['20570N3_two_0.5'],0.70334303,0.7773112,2.0208306,2.4348533,2.2728138,2.2126205
24,['19351N2_two_0.5'],0.97979605,0.07676816,2.295848,2.225193,2.20375,2.133679
25,['17060N2_one_1.0'],0.93454784,1.8904607,1.0166492,1.4240098,0.80328983,1.1114347
26,['21010N2_one_0.5'],4.548616,4.597019,1.9897864,1.9387338,1.4591938,1.3576363
27,['19260N2_one_0.5'],1.6237489,1.6830425,1.1859076,1.1161163,0.8268533,0.83960605
28,['21081N2'],4.2503057,4.3771796,1.4701289,1.4466373,1.0247111,0.9488102
29,['19110N2_two_0.5'],4.4876246,4.127305,4.372696,3.4369636,3.4001083,2.7794926
30,['17153N2'],4.3866262,4.2231026,1.4979665,1.5504297,1.0552026,1.0260361
31,['16100N2'],4.297723,3.9971352,1.3816245,1.2302964,0.94516116,0.8448863
32,['19050N2_one_0.5'],5.074341,5.460684,2.2427971,2.1096232,1.605434,1.4907608
33,['13000N2'],0.6143218,2.1247385,0.3617219,0.16797829,0.22535224,-0.034354687
34,['15160N2'],1.0234913,1.6780447,0.3238464,1.038897,0.20483212,0.70169115
35,['21470N2'],3.4842126,3.7167883,1.2255646,1.4860915,0.78480715,1.021445
36,['16340N2_one_0.5'],4.4795785,4.0592527,2.1846538,1.9123517,1.4245852,1.3507038
37,['20191N2_two_0.5'],7.269317,7.6865234,4.460565,5.032449,3.2739077,3.8106642
38,['13161N2_one_0.5'],6.1001062,6.243718,2.6462147,2.3789032,1.7624172,1.5942725
39,['16440N2_two_1.0'],2.191131,2.4946918,3.6591039,3.7650468,3.2713933,3.4037085
40,['15170N2'],2.5742872,3.5505595,0.9082187,1.2176543,0.5802542,0.77302086
41,['21000N2'],4.0146966,4.0419836,1.3437595,1.0629215,0.9606301,0.6686599
42,['19401N3_two_1.0'],1.1897283,1.1352001,3.252006,4.1156535,4.3676295,4.4778233
43,['16100N2_one_0.5'],2.9074075,3.203948,1.5357976,1.5338688,1.1875159,1.1647807
44,['21081N2_one_1.0'],3.0641031,3.1188846,1.421858,1.6991024,1.1752838,1.2910502
45,['21251N2_one_1.0'],4.241944,4.128202,2.0082633,1.9389155,1.392722,1.2995728
46,['20564N3_one_1.0'],2.9707901,2.8442254,2.4104452,2.4102726,1.7410023,1.9657178
47,['07002N2'],3.47615,3.792992,1.1651342,1.2665695,0.7770091,0.8684033
48,['19550N2'],4.0772915,4.042499,1.3832989,1.1734316,0.94573194,0.7450049
49,['16060N2_one_0.5'],3.2260864,3.2559464,2.0935667,1.6755574,1.3896086,1.2318736
50,['14060N2_one_0.5'],5.2151976,4.298942,2.107237,2.0095317,1.391859,1.3836092
51,['13060N2_two_0.5'],0.80690175,3.2471611,2.1552432,4.124548,2.2222986,3.4466867
52,['16361N2'],6.517876,5.9701986,2.2398,1.9654775,1.6197665,1.3780967
53,['19190N2'],4.2649894,4.027889,1.636953,1.5832174,1.0576248,1.0709753
54,['11020N2'],4.2354264,3.8720806,1.3624762,1.2837459,0.9145833,0.85583067
55,['16480N2_two_0.5'],0.80683005,1.6048099,2.3745196,2.8110678,2.5909352,2.7351334
56,['16110N3_two_0.5'],15.878654,13.416049,8.449481,8.002897,5.75585,5.863361
57,['13170N2'],8.469896,8.646719,3.6958914,3.3923433,2.5300865,2.3015084
58,['19251N3'],2.5306094,2.4078512,1.1163231,1.1050504,0.6709792,0.7131083
59,['17160N3_one_1.0'],11.624297,10.839035,5.114758,5.0083423,3.6564631,3.5386982
60,['22001N2'],2.139081,2.7428446,0.8463994,1.0521959,0.5340695,0.68878603
61,['11030N2_two_0.5'],3.9949691,3.9153154,5.3462486,4.4198556,4.1094484,3.6272414
62,['21251N2_two_1.0'],2.049186,2.7911704,3.8348048,3.5966089,3.6845315,3.134291
63,['16160N2'],3.8113844,3.837708,1.3207468,1.3358182,0.90470296,0.91043115
64,['17162N3_one_1.0'],12.039806,11.279688,5.3259025,5.3304806,3.8237386,3.8414917
65,['19450N2_one_1.0'],4.1548476,3.2179375,2.2432017,1.979596,1.6976031,1.508473
66,['20140N2_one_1.0'],0.8610132,1.1071209,1.1227894,1.2186558,0.93551546,1.0125395
67,['13182N3_one_0.5'],0.27162644,0.08766365,0.64632046,0.76961994,0.5474365,0.76617205
68,['21001N2'],4.3800664,4.460069,1.4900624,1.3695945,1.069519,0.8773532
69,['17180N2_two_1.0'],0.9811129,0.7157893,2.1817276,1.7357304,2.346022,2.3168843
70,['15241N2_two_1.0'],3.6010184,4.829617,4.3187504,3.9796462,3.1708632,2.9904208
71,['15182N2_one_0.5'],4.1159334,4.245667,1.6652377,1.5496088,1.1555647,1.0120503
72,['19511N2_two_1.0'],0.57460284,1.9330494,2.0612648,3.3805346,2.4940574,3.3842826
73,['18011N3'],1.4902598,1.6181352,0.9887265,0.49269176,0.58757013,0.243963
74,['20491N2_one_0.5'],2.0818715,3.0441782,0.9384451,1.3476595,0.7961862,0.88640547
75,['16340N2_one_1.0'],3.8790576,3.9326763,2.028396,1.9573715,1.3083646,1.416498
76,['19541N2_two_0.5'],2.989958,2.6446612,3.1767657,2.7059486,2.7095208,2.2532454
